word,pronunciation,meaning1,meaning2,meaning3
justify,/ˈdʒʌstɪfaɪ/,biện minh,giải thích hợp lý,chứng minh là đúng
manipulate,/məˈnɪpjuleɪt/,thao túng,điều khiển,xử lý khéo léo
obstacle,/ˈɒbstəkl/,trở ngại,chướng ngại vật,khó khăn
outcome,/ˈaʊtkʌm/,kết quả,hậu quả,thành quả
united,ju:'naitid,"hợp, liên liên kết","đoàn kết, hoà hợp",
found,faund,"nấu chảy (kim loại, vật liệu làm thuỷ tinh...)",đúc (kim loại),"thành lập, sáng lập, xây dựng, đặt nền móng"
data,'deitə,số nhiều của datum,"((thường) dùng như số ít) số liệu, dữ kiện; tài liệu, cứ liệu (cung cấp những điều cần thiết)",
commission,kə'miʃn,"lệnh, mệnh lệnh","nhiệm vụ, phận sự","sự uỷ nhiệm, sự uỷ thác; công việc uỷ nhiệm, công việc uỷ thác"
god,gɔd,thần,"(God) Chúa, trời, thượng đế","cầu Chúa, cầu trời"
times,,nhân với,gấp (dùng để chỉ sự nhân lên),
known,nou,biết; hiểu biết,"biết, nhận biết; phân biệt được","biết, quen biết"
energy,'enədʤi,"nghị lực, sinh lực",sự hoạt động tích cực,"khả năng tiềm tàng, năng lực tiềm tàng"
community,kə'mju:niti,"dân, dân chúng, nhân dân (cùng ở một địa phương, quận, huyện, khu phố, tỉnh...)","phường, hội, phái, nhóm người (cùng tôn giáo, cùng quốc tịch...)","sở hữu cộng đồng, sở hữu chung"
particular,pə'tikjulə,"đặc biệt, đặc thù; cá biệt, riêng biệt","tường tận, tỉ mỉ, chi tiết","kỹ lưỡng, cặn kẽ, câu nệ đến từng chi tiết"
means,,tiền bạc; của cải; tiềm lực,a man of means,phương tiện; biện pháp; cách thức
according,ə'kɔ:diɳ,"(+ to) theo, y theo","(+ as) tuỳ, tuỳ theo",
project,project,"kế hoạch, đề án, dự án",công trình (nghiên cứu),"công cuộc lớn (đòi hỏi nhiều tiền, thiết bị, nhân lực)"
federal,'fedərəl,(thuộc) liên bang,,
contract,'kɔntrækt,"hợp đồng, giao kèo, khế ước, giấy ký kết","sự ký hợp đồng, sự ký giao kèo, việc bỏ thầu, việc đấu giá","đính ước, giao ước, kết giao"
division,di'viʤn,sự chia; sự phân chia,(toán học) phép chia,"sự chia rẽ, sự ly gián; sự bất hoà, sự phân tranh"
lower,'louə,"thấp hơn, ở dưới, bậc thấp","hạ thấp, hạ xuống, kéo xuống","giảm, hạ (giá cả)"
corporation,",kɔ:pə'reiʃn","đoàn thể, liên đoàn; phường hội",hội đồng thành phố ((cũng) minicipal corporation),(thông tục) bụng phệ
stock,stɔk,"kho dữ trữ, kho; hàng trong kho",(tài chính) vốn; cổ phân,(thực vật học) thân chính
species,'spi:ʃi:z,(sinh vật học) loài,"loại, hạng, thứ","dạng, hình thái"
saw,sɔ:,tục ngữ; cách ngôn,cái cưa,(động vật học) bộ phận hình răng cưa
reference,'refrəns,"sự chuyển đến (một người, một tổ chức có thẩm quyền) để xem xét, sự giao cho giải quyết (một vấn đề gì); thẩm quyền giải quyết",sự hỏi ý kiến,"sự xem, sự tham khảo"
determined,di'tə:mind,"đã được xác định, đã được định rõ","nhất định, nhất quyết, quả quyết; kiên quyết",
conference,'kɔnfərəns,"sự bàn bạc, sự hội ý",hội nghị,
motion,'mouʃn,"sự vận động, sự chuyển đông, sự di động","cử động, cử chỉ, dáng đi",bản kiến nghị; sự đề nghị
expected,,được chờ đợi hy vọng,,
trial,'traiəl,sự thử,"(pháp lý) việc xét xử, sự xử án",điều thử thách; nỗi gian nan
soil,sɔil,đất,"vết bẩn, vết nhơ",sự làm nhơ bẩn
payment,'peimənt,"sự trả tiền, sự nộp tiền; số tiền trả","(nghĩa bóng) việc trả công, việc thưởng phạt",
investment,in'vestmənt,sự đầu tư; vốn đầu tư; cái được đầu tư,(như) investiture,"(quân sự) sự bao vây, sự phong toả"
environment,in'vaiərənmənt,"môi trường, hoàn cảnh, những vật xung quanh","sự bao quanh, sự vây quanh, sự bao vây",
related,,"có liên quan, có quan hệ với ai/ cái gì","có họ với (cùng một họ, cùng một tầng lớp )",
minister,'ministə,bộ trưởng,"bộ trưởng bộ ngoại giao, ngoại trưởng",hội đồng bộ trưởng
actual,'æktjuəl,"thật sự, thật, thực tế, có thật","hiện tại, hiện thời; hiện nay",
cause,kɔ:z,"nguyên nhân, nguyên do, căn nguyên","lẽ, cớ, lý do, động cơ","(pháp lý) việc kiện, việc tố tụng"
procedure,procedure,thủ tục,,
factor,'fæktə,nhân tố,"người quản lý, người đại diện",người buôn bán ăn hoa hồng
phase,feiz,tuần (trăng...),"giai thoại, thời kỳ (phát triển, biến đổi)","phương diện, mặt (của vấn đề...)"
trust,trʌst,"sự tín nhiệm, lòng tin, sự tin cậy","niềm hy vọng, kỳ vọng, sự tin tưởng, sự trông mong","sự giao phó, sự phó thác, sự uỷ thác"
existing,,hiện tại; hiện tồn; hiện hành; hiện nay,,
planning,,sự lập kế hoạch (cho cái gì),sự quy hoạch thành phố,
mass,mæs,(tôn giáo) lễ mét,"khối, đống","số nhiều, số đông, đa số"
primary,'praiməri,"nguyên thuỷ, đầu, đầu tiên","gốc, nguyên, căn bản","sơ đẳng, sơ cấp"
senator,'senətə,thượng nghị sĩ,,
index,'indeks,ngón tay trỏ ((cũng) index finger),chỉ số; sự biểu thị,kim (trên đồng hồ đo...)
estate,is'teit,"tài sản, di sản",bất động sản ruộng đất,đẳng cấp
acid,'æsid,(hoá học) Axit,chất chua,Axit
technical,'teknikəl,"(thuộc) kỹ thuật, chuyên môn",,
portion,'pɔ:ʃn,"phần, phần chia","phần thức ăn (đựng ở đĩa đem lên cho khách, ở quán ăn)",của hồi môn
provision,provision,"((thường) + for,  against) sự chuẩn bị, sự dự phòng, sự trữ sẵn","đồ dự phòng, đồ trữ sẵn",(số nhiều) lương thực cung cấp; thực phẩm dự trữ; thức ăn thức uống
formation,fɔ:'meiʃn,"sự hình thành, sự tạo thành, sự lập nên","hệ thống tổ chức (xã hội), cơ cấu","(quân sự) sự bố trí quân sự, sự dàn quân; đội hình (máy bay)"
initial,i'niʃəl,"ban đầu, đầu",(ngôn ngữ học) ở đầu,chữ đầu (từ)
resolution,",rezə'lu:ʃn",nghị quyết,"sự cương quyết, sự kiên quyết, sự quyết tâm","quyết định, ý định kiên quyết"
chief,tʃi:f,"thủ lĩnh, lãnh tụ",người đứng đầu; trưởng,"(thông tục) ông sếp, ông chủ"
transfer,'trænsfə:,"sự di chuyển, sự dời chỗ; sự truyền","sự nhượng, sự nhường lại, sự chuyển cho",(nghệ thuật) bản đồ lại
constant,'kɔnstənt,"bền lòng, kiên trì","kiên định, trung kiên; trung thành, chung thuỷ","không ngớt, không dứt, liên miên, liên tiếp"
concerning,kən'sə:niɳ,về việc,,
proceedings,,(proceedings against somebody / for something) vụ kiện,nghi thức,(số nhiều) biên bản lưu (của cuộc họp...)
estimated,,được ước lượng,,
regard,ri'gɑ:d,cái nhìn,"sự quan tâm, sự chú ý, sự để ý",lòng yêu mến; sự kính trọng
prior,prior,trưởng tu viện,trước,prior to trước khi
understanding,",ʌndə'stændiɳ","sự hiểu biết, sự am hiểu","óc thông minh, óc suy xét, trí tuệ",quan niệm
personnel,",pə:sə'nel","toàn thể cán bộ công nhân viên (cơ quan, nhà máy...)","(từ Mỹ,nghĩa Mỹ) phòng tổ chức cán bộ, vụ tổ chức cán bộ","vụ tổ chức cán bộ, vụ nhân sự"
employee,ɔm'plɔiei,"người làm, người làm công",,
output,'autput,sự sản xuất,sản phẩm,"khả năng sản xuất, sảm lượng"
deep,di:p,sâu,"khó lường, khó hiểu, bí ẩn, thâm hiểm","sâu xa, sâu sắc, sâu kín, thâm trầm"
commerce,'kɔmə:s,sự buôn bán; thương mại; thương nghiệp,"sự quan hệ, sự giao thiệp","(pháp lý) sự giao cấu, sự ăn nằm với nhau"
assembly,ə'sembli,cuộc họp,hội đồng,hội nghị lập pháp; (Mỹ) hội đồng lập pháp (ở một số bang)
learning,'lə:niɳ,sự học,sự hiểu biết; kiến thức,thời kỳ phục hưng
legislation,",ledʤis'leiʃn","sự làm luật, sự lập pháp","pháp luật, pháp chế",sự ban hành pháp luật
reaction,ri:'ækʃn,"sự phản tác dụng, sự phản ứng lại",(vật lý); (hoá học) phản ứng,(chính trị) sự phản động
assessment,ə'sesmənt,sự định giá (một vật) để đánh thuế; sự đánh giá; sự ước định,sự đánh thuế,mức định giá đánh thuế; thuế
administrative,əd'ministrətiv,"(thuộc) hành chính, (thuộc) quản trị","(thuộc) chính quyền, (thuộc) nhà nước",
master,'mɑ:stə,"chủ, chủ nhân",(hàng hải) thuyền trưởng (thuyền buôn),"thầy, thầy giáo"
growing,'grouiɳ,sự lớn lên,sự nuôi; sự trồng,đang lớn lên
revenue,'revinju:,thu nhập (quốc gia),"((thường) số nhiều) lợi tức, hoa lợi (của cá nhân)",ngân khố quốc gia; sở thu thuế
potential,pə'tenʃəl,tiềm tàng,(vật lý) (thuộc) điện thế,(ngôn ngữ học) khả năng
evaluation,"i,vælju'eiʃn",sự ước lượng,sự định giá,
compensation,",kɔmpen'seiʃn","sự đền bù, sự bồi thường (thiệt hại); vật đền bù, vật bồi thường",(kỹ thuật) sự bù,
western,'west n,(thuộc) phía tây; của phưng tây,người miền tây,phim (truyện) về đời sống những người chăn bò (cao bồi) ở miền tây nước Mỹ
domestic,də'mestik,"(thuộc) gia đình, (thuộc) việc nhà, nội trợ",nuôi trong nhà (súc vật),"trong nước (làm ở) trong nước, nội (đối với ngoại)"
relief,ri'li:f,"sự giảm nhẹ, sự bớt đi, sự làm khuây (đau đớn, buồn rầu)","sự cứu tế, sự trợ cấp; sự cứu viện",sự giải vây (một thành phố...)
faith,feiθ,"sự tin tưởng, sự tin cậy",niềm tin,"vật làm tin, vật bảo đảm"
publication,",pʌbli'keiʃn",sự công bố,sự xuất bản (sách); sách báo xuất bản,
secondary,'sekəndəri,"thứ hai, thứ nhì, thứ, phụ, không quan trọng",chuyển hoá,trung học
statistics,stə'tistiks,thống kê,khoa học thống kê,
previously,'pri:viəsli,"trước, trước đây",,
fiscal,fiskəl,(thuộc) công khố; (thuộc) tài chính,viên chức tư pháp (ở một số nước Châu-âu),(Ê-cốt) (pháp lý) biện lý
living,'liviɳ,cuộc sống sinh hoạt,"cách sinh nhai, sinh kế",người sống
developing,,"đang phát triển, trên đà phát triển",,
somewhat,'sʌmwɔt,"hơi, gọi là, một chút",,
resistance,ri'zistəns,"sự chống cự, sự kháng cự, sự đề kháng",(vật lý) điện trở,"tính chống, sức bền, độ chịu"
executive,ig'zekjutiv,"(thuộc) sự thực hiện, (thuộc) sự thi hành; để thực hiện, để thi hành",hành pháp,"(từ Mỹ,nghĩa Mỹ) hành chính"
percentage,pə'sentidʤ,tỷ lệ phần trăm,tỷ lệ; phần,
convention,kən'venʃn,hội nghị (chính trị); sự triệu tập,hiệp định,sự thoả thuận (thường là ngầm)
media,'mi:djəm,"người trung gian, vật môi giới","trung dung, sự chiết trung","bà đồng, đồng cốt"
latter,'lætə,"sau cùng, gần đây, mới đây","sau, thứ hai (đối lại với former)",(the latter) cái sau; người sau (đối lại với former)
fixed,fikst,"đứng yên, bất động, cố định",được bố trí trước,"(từ Mỹ,nghĩa Mỹ) mọi người đã có đẻ cái cần thiết"
circuit,'sə:kit,"chu vi, đường vòng quanh",sự đi vòng quanh,"cuộc kinh lý, cuộc tuần du, cuộc tuần tra (của các quan toà để xét xử); địa phận đi kinh lý"
remains,,"đồ thừa, cái còn lại","phế tích, tàn tích (những toà nhà  cổ xưa còn lại đã bị phá hủy)",di cảo (của một tác giả)
moving,'mu:viɳ,"động, hoạt động","cảm động, gợi mối thương tâm, làm mủi lòng",
equation,i'kweiʃn,sự làm cân bằng,lượng bù sai,(toán học) phương trình
institution,",insti'tju:ʃn","sự thành lập, sự lập",sự mở (một cuộc điều tra),cơ quan; trụ sở cơ quan
sector,'sektə,(toán học) hình quạt,(quân sự) quân khu,khu vực
extension,iks'tenʃn,sự duỗi thẳng ra; sự đưa ra,"sự kéo dài ra, sự gia hạn; sự mở rộng","phần kéo dài, phần mở rộng, phần nối thêm (vào nhà, vào dây nói...)"
welfare,'welfe,hạnh phúc; phúc lợi,"(y học) sự bo vệ, sự chăm sóc",
specified,,theo danh nghĩa; lý thuyết,,
commissioner,kə'miʃnə,người được uỷ quyền,uỷ viên hội đồng,"người đại biểu chính quyền trung ương (ở tỉnh, khu...)"
employer,im'plɔiə,chủ,,
adequate,'ædikwit,"đủ, đầy đủ","tương xứng, xứng đáng; thích hợp, thích đáng, thoả đáng",
rural,'ruərəl,"(thuộc) nông thôn, thôn dã",,
scheme,ski:m,"sự sắp xếp theo hệ thống, sự phối hợp",kế hoạch; âm mưu; mưu đồ; ý đồ,"lược đồ, giản đồ, sơ đồ"
moral,'mɔrəl,"(thuộc) đạo đức, (thuộc) luân lý, (thuộc) phẩm hạnh","có đạo đức, hợp đạo đức",tinh thần
processing,processing,"sự chế biến, sự gia công",,
interpretation,"in,tə:pri'teiʃn","sự giải thích, sự làm sáng tỏ",sự hiểu (theo một cách nào đó); cách hiểu,"sự trình diễn ra được, sự diễn xuất ra được; sự thể hiện"
relevant,'relivənt,"thích đang, thích hợp; xác đáng",,
external,eks'tə:nl,"ở ngoài, bên ngoài (hiện tượng...)","(y học) ngoài, để dùng bên ngoài","(từ Mỹ,nghĩa Mỹ) đối với nước ngoài, đối ngoại (chính sách, sự buôn bán)"
territory,'teritəri,"đất đai, địa hạt, lãnh thổ","khu vực, vùng, miền","(Territory) (từ Mỹ,nghĩa Mỹ) hạt (vùng chưa được hưởng những quyền lợi như một bang)"
testimony,'testiməni,"sự chứng nhận, sự nhận thực; lới chứng, lời khai","bằng chứng, chứng cớ",
finance,fai'næns,"tài chính, sở quản lý tài chính","(số nhiều) tài chính, tiền của","cấp tiền cho, bỏ vốn cho, tìm vốn cho"
urban,:'bein,"(thuộc) thành phố, (thuộc) thành thị; ở thành phố, ở thành thị",,
divided,,phân chia,,
carbon,'kɑ:bən,(hoá học) cacbon,giấy than; bản sao bằng giấy than,(điện học) thỏi than (làm đèn cung lửa)
aircraft,'eəkrɑ:ft,"máy bay, tàu bay",khí cầu,
manufacturing,,sự sản xuất; sự chế tạo,,
purchase,'pθ:tʃəs,"sự mua, sự tậu được; vật mua được, vật tậu được","thu hoạch hằng năm, hoa lợi hằng năm, lợi tức hằng năm (của đất đai...)",(pháp lý) sự tậu được (chứ không phải do hưởng thừa kế)
improved,,"được hoàn thiện , được cải tiến",,
marketing,,(Econ) Marketing,,
multiple,'mʌltipl,"nhiều, nhiều mối, phức tạp",(toán học) bội số,
cooperation,,sự hợp tác,,
jury,'dʤuəri,"(pháp lý) ban hội thẩm, ban bồi thẩm",ban giám khảo,
participation,"pɑ:,tisi'peiʃn","sự tham gia, sự tham dự, sự góp phần vào",,
classification,",klæsifi'keiʃn",sự phân loại,,
expansion,iks'pænʃn,"sự mở rộng, sự bành trướng, sự phát triển, sự phồng ra; phần mở rộng","(kỹ thuật) sự giãn, sự nở; độ giãn, độ nở",(toán học) sự khai triển
legislative,'ledʤislətiv,"làm luật, lập pháp",,
revolution,",revə'lu:ʃn","vòng, tua",(toán học); (thiên văn học) sự xoay vòng,cuộc cách mạng
profit,profit,"lợi, lợi ích, bổ ích","tiền lãi, lợi nhuận","làm lợi, mang lợi, có lợi"
overall,'ouvərɔ:l,"toàn bộ, toàn thể, từ đầu này sang đầu kia","áo khoác, làm việc",(số nhiều) quần yếm (quần may liền với miếng che ngực của công nhân)
component,kəm'pounənt,"hợp thành, cấu thành","thành phần, phần hợp thành",
clause,'klætə,(ngôn ngữ học) mệnh đề,điều khoản (của một hiệp ước...),
detailed,,"cặn kẽ, tỉ mỉ, nhiều chi tiết",,
therapy,",θerə'pju:tiks",(y học) phép chữa bệnh,,
specifically,spi'sifikəli,"chính xác, rõ rệt","đặc trưng, riêng biệt",
extensive,iks'tensiv,"rộng, rộng rãi, bao quát",quảng canh,
criminal,'kriminl,"có tội, phạm tội, tội ác",(xem) conversation,"kẻ phạm tội, tội phạm"
grain,grein,thóc lúa,"hạt, hột","một chút, mảy may"
user,'ju:z,"người dùng, người hay dùng",,
reform,reform,"sự cải cách, sự cải lương, sự cải thiện, sự cải tạo, sự cải tổ",sự sửa đổi,"cải cách, cải lương, cải thiện, cải tạo, cải tổ"
recognition,",rekəg'niʃn","sự công nhận, sự thừa nhận",sự nhận ra,
consistent,kən'sistənt,"đặc, chắc","(+ with) phù hợp, thích hợp","kiên định, trước sau như một"
certificate,sə'tifikit,giấy chứng nhận; bằng,"chứng chỉ, văn bằng",cấp giấy chứng nhận
treaty,'tri:ti,hiệp ước,"sự thoả thuận; sự điều đình, sự thương lượng",
input,'input,cái cho vào,lực truyền vào (máy...); dòng điện truyền vào (máy...),(kỹ thuật) tài liệu viết bằng ký hiệu (cung cấp vào máy tính điện tử); sự cung cấp tài liệu (cho máy tính điện tử)
wage,weidʤ,"tiền lương, tiền công","(từ cổ,nghĩa cổ) phần thưởng; hậu quả",tiến hành
necessarily,'nesisərili,"tất yếu, nhất thiết",,
version,'və:ʃn,bản dịch,(ngôn ngữ nhà trường) bài dịch,"lối giải thích (theo một quan điểm riêng); sự kể lại, sự thuật lại, sự diễn tả"
sexual,'seksjuəl,(thuộc) giới tính; sinh dục,(thực vật học) dựa trên giới tính (cách phân loại),
criteria,krai'tiəriən,tiêu chuẩn,,
copper,'kɔpə,"(từ lóng) cảnh sát, mật thám, cớm",đồng (đỏ),đồng xu đồng
contents,,"(Tech) nội dung, dung lượng",,
creation,kri:'eiʃn,"sự tạo thành, sự sáng tạo (thế giới); sự sáng tác",tác phẩm; vật được sáng tạo ra,sự phong tước
mine,,đại từ sở hữu,của tôi,<cổ><thơ>  (trước nguyên âm hay h) như my
campaign,kæm'pein,chiến dịch,cuộc vận động,"đi chiến dịch, tham gia chiến dịch"
export,'ekspɔ:t,hàng xuất khẩu; (số nhiều) khối lượng hàng xuất khẩu,sự xuất khẩu,(định ngữ) xuất khẩu
attached,,gắn bó,,
variation,",veəri'eiʃn","sự biến đổi, sự thay đổi","sự khác nhau, sự sai nhau","biến dạng, biến thể"
exception,ik'sepʃn,"sự trừ ra, sự loại ra","cái trừ ra, cái loại ra; ngoại lệ",sự phản đối
core,kɔ:,"lõi, hạch (quả táo, quả lê...)","điểm trung tâm, nòng cốt, hạt nhân",lõi dây thừng
savings,,(Econ) Tiết kiệm.,,
significantly,,theo một cách truyền đạt có ý nghĩa đặc biệt,"đáng kể; tới một mức độ quan trọng, tới một mức độ to lớn",
discharge,dis'tʃɑ:dʤ,"sự dỡ hàng, sự bốc dỡ (hàng)","sự nổ (súng), sự phóng ra, sự bắn ra (tên lửa, mũi tên...)","sự đuổi ra, sự thải hồi (người làm); sự tha, sự thả (người tù); sự cho ra, sự cho về (người bệnh); sự giải tán, sự giải ngũ (quân đội)"
route,ru:t,"tuyến đường, đường đi",((cũng) raut) (quân sự) lệnh hành quân,gửi (hàng hoá) theo một tuyến đường nhất định
identification,"ai,dentifi'keiʃn","sự đồng nhất hoá, sự làm thành đồng nhất","sự nhận ra, sự nhận biết sự nhận diện; sự nhận dạng; nét để nhận ra, nét để nhận biết, nét để nhận diện, nét để nhận dạng (người nào, vật gì)","sự phát hiện ra, sự nhận diện ra"
necessity,ni'sesiti,"sự cần thiết, điều tất yếu, điều bắt buộc","(số nhiều) những thứ cần thiết, những thứ cần dùng",((thường) số nhiều) cảnh nghèo túng
substance,'sʌbstəns,"chất, vật chất","thực chất, căn bản, bản chất","nội dung, đại ý"
desired,,muốn có đòi hỏi,,
consent,kən'sent,"sự đồng ý, sự ưng thuận, sự bằng lòng, sự thoả thuận; sự tán thành)","tuổi kết hôn, tuổi cập kê",(xem) silence
estimate,'estimit - 'estimeit,'estimeit/,"sự đánh giá, sự ước lượng",số lượng ước đoán
parliament,'pɑ:ləmənt,nghị viện; nghị trường,(the parliament) nghị viện Anh,(viết tắt) nghị sĩ
earnings,'ə:niɳz,"tiền kiếm được, tiền lương",tiền lãi,
transition,træn'siʤn,"sự chuyển tiếp, sự quá độ",(âm nhạc) sự chuyển giọng,(kiến trúc) sự đổi kiểu
dated,'deitid,đề nghị,"lỗi thời, cũ kỹ, không hợp thời",
psychology,sai'kɔlədʤi,tâm lý,tâm lý học,khái luận về tâm lý; hệ tâm lý
corporate,'kɔ:pərit,(thuộc) đoàn thể; hợp thành đoàn thể,thành phố có quyền tự trị,
perspective,pə'spektiv,luật xa gần; phối cảnh,tranh vẽ luật xa gần; hình phối cảnh,"cảnh trông xa; (nghĩa bóng) viễn cảnh, triển vọng; tương lai, tiến độ"
transmission,trænz'miʃn,"sự chuyển giao, sự truyền",,
preliminary,pri'liminəri,"mở đầu, mào đầu; sơ bộ, dự bị","((thường) số nhiều) công việc chuẩn bị, sự sắp đặt mở đầu; biện pháp sơ bộ",(số nhiều) điều khoản sơ bộ; cuộc đàm phán sơ bộ
mill,mil,"(từ Mỹ,nghĩa Mỹ) min (bằng 1 qoành 000 đô la)","cối xay, máy xay, nhà máy xay; máy nghiền, máy cán","xưởng, nhà máy"
profits,,(Econ) Lợi nhuận.,,
stability,stə'biliti,"sự vững vàng, sự vững chắc; sự ổn định (giá cả...)","sự kiên định, sự kiên quyết","(vật lý) tính ổn định, tính bền; độ ổn định, độ bền"
preceding,pri:'si:diɳ,trước,,
corresponding,",kɔris'pɔndiɳ",tương ứng; đúng với,"trao đổi thư từ, thông tin",(toán học) góc đồng vị
satisfactory,",sætis'fæktəri","làm thoả mãn, làm vừa ý; đầy đủ, tốt đẹp","(tôn giáo) để đền tội, để chuộc tội",
mixture,'mikstʃə,"sự pha trộn, sự hỗn hợp","thứ pha trộn, vật hỗn hợp",(dược học) hỗn dược
wheat,wi:t,(thực vật học) cây lúa mì,lúa mì,
applicant,'æplikənt,người xin việc; người thỉnh cầu,"(pháp lý) nguyên cáo, người thưa kiện",
willing,'wili,"bằng lòng, vui lòng; muốn","sẵn sàng, quyết tâm","có thiện ý, hay giúp đỡ, sẵn lòng"
considering,kən'sidəriɳ,"vì rằng, thấy rằng, xét rằng","xét cho kỹ, xét cho đến cùng",
yield,ji:ld,"sản lượng, hoa lợi (thửa ruộng); hiệu suất (máy...)","(tài chính) lợi nhuận, lợi tức","(kỹ thuật) sự cong, sự oằn"
practically,'præktikəli,về mặt thực hành (đối với lý thuyết),"thực tế, thực tiễn, thiết thực","trên thực tế, thực tế ra"
province,province,tỉnh,"(tôn giáo) địa phận, giáo khu (dưới quyền tổng giám mục)",(sử học) (La-mã) lãnh thổ (người nước Y) dưới quyền cai trị của một thống đốc La-mã
operator,'ɔpəreitə,người thợ máy; người sử dụng máy móc,người coi tổng đài (dây nói),(y học) người mổ
adjustment,ə'dʤʌstmənt,"sự sửa lại cho đúng, sự điều chỉnh, sự chỉnh lý","sự hoà giải, sự dàn xếp (mối bất hoà, cuộc phân tranh...)",
focus,'foukəs,"(toán học),  (vật lý) tiêu điểm","(nghĩa bóng) trung tâm, trọng điểm tâm",(y học) ổ bệnh
grand,grænd,"rất quan trọng, rất lớn","hùng vĩ, uy nghi, trang nghiêm, huy hoàng","cao quý, cao thượng; trang trọng, bệ vệ"
client,'klaiənt,"khách hàng (của luật sư, cửa hàng...)",,
legislature,'ledʤisleitʃə,cơ quan lập pháp,,
retirement,ri'taiəmənt,sự ẩn dật,"nơi hẻo lánh, nơi ẩn dật","sự về hưu, sự thôi (làm việc kinh doanh...)"
evolution,",i:və'lu:ʃn",sự tiến triển (tình hình...),"sự tiến hoá, sự phát triển","sự mở ra, sự nở ra (nụ...)"
salary,'sæləri,tiền lương,trả lương,
gross,grous,"mười hai tá, gốt ((cũng) small gross)","gộp cả, tính tổng quát, nói chung","to béo, phì nộm, béo phị (người)"
readily,'redili,sẵn sàng,"vui lòng, sẵn lòng","dễ dàng, không khó khăn gì"
oral,'ɔ:rəl,"bằng lời nói, nói miệng",(giải phẫu) (thuộc) miệng,"(thông tục) thi nói, thi vấn đáp"
soviet,'souviet,xô viết,xô viết,
originally,ə'ridʤnəli,với tính chất gốc; về nguồn gốc,"bắt đầu, khởi đầu, từ lúc bắt đầu","đầu tiên, trước tiên"
exceed,ik'si:d,trội hơn,làm quá,phóng đại
acquisition,",ækwi'ziʃn","sự được, sự giành được, sự thu được, sự đạt được, sự kiếm được","cái giành được, cái thu nhận được",
comprehensive,",kɔmpri'hensiv",bao hàm toàn diện,"mau hiểu, thông minh, lĩnh hội nhanh, sáng ý",trường phổ thông hỗn hợp (có nhiều chương trình học và thời gian học khác nhau)
interior,in'tiəriə,"ở trong, ở phía trong","nằm xa trong đất liền, ở nội địa","nội, nội bộ, trong nước"
faculty,'fækəlti,"tính năng, khả năng; (từ Mỹ,nghĩa Mỹ) khả năng quản trị",năng lực,"tài, tài năng"
enterprise,'entəpraiz,việc làm khó khăn; việc làm táo bạo,tính dám làm,"(từ Mỹ,nghĩa Mỹ) tổ chức kinh doanh, hãng"
accordingly,ə'kɔ:diɳ,"do đó, vì vậy, cho nên",(sao) cho phù hợp (với hoàn cảnh),(+ as) (như) according as
mortgage,,(Econ) Thế chấp.,,
