word,pronunciation,meaning1,meaning2,meaning3
industry,'indəstri,công nghiệp,"sự chăm chỉ, tính cần cù, tính siêng năng ((cũng) industriousness)",ngành kinh doanh; nghề làm ăn
terms,,"điều khoản, điều kiện đề nghị, điều kiện được chấp nhận",giá; điều kiện (cách thanh toán đề nghị hoặc đòi hỏi),"quan hệ, sự giao thiệp, sự giao hảo, sự đi lại"
application,",æpli'keiʃn","sự gắn vào, sự áp vào, sự ghép vào, sự đính vào, sự đắp vào, sự tra vào ((cũng) appliance)","vật gắn, vật áp, vật ghép, vật đính, vật đắp, vật tra","sự dùng, sự áp dụng, sự ứng dụng"
press,pres,"sự ép, sự nén, sự bóp, sự ấn","sự đông đúc, sự chen chúc; đám đông chen chúc, đám đông xô lấn","sự thúc ép, sự hối hả, sự tất bật"
income,'inkəm,"thu nhập, doanh thu, lợi tức",,
union,'ju:njən,"sự hợp nhất, sự kết hợp, sự liên kết; liên minh, liên hiệp","sự nhất trí, sự cộng đồng, sự đoàn kết, sự hoà hợp","hiệp hội, liên hiệp; đồng minh; liên bang"
treatment,'tri:tmənt,"sự đối xử, sự đối đãi, sự cư xử (với người nào)",(y học) sự điều trị; phép trị bệnh,(hoá học) sự xử lý
basis,'beisis,"nền tảng, cơ sở",căn cứ (quân sự),
able,'eibl,"có năng lực, có tài","(pháp lý) có đủ tư cách, có đủ thẩm quyền",
surface,'sə:fis,"mặt, mặt ngoài bề mặt",(định ngữ) bề ngoài,(định ngữ) ở mặt biển
council,'kaunsl,hội đồng,,
growth,grouθ,"sự lớn mạnh, sự phát triển","sự tăng tiến, sự tăng lên, sự khuếch trương",sự sinh trưởng
feet,fut,"chân, bàn chân (người, thú...)","bước chân, cách đi",(quân sự) bộ binh
construction,kən'strʌkʃn,sự xây dựng,vật được xây dựng,(ngôn ngữ học) cách đặt câu; cấu trúc câu
authority,ɔ:'θɔriti,"uy quyền, quyền lực, quyền thế",uỷ quyền,"((thường) số nhiều) nhà cầm quyền, nhà chức trách, nhà đương cục"
series,'siəri:z,"loạt, dãy, chuỗi, đợt","(địa lý,địa chất) thống, hệ (địa tầng)",(hoá học) nhóm cùng gốc
current,'kʌrənt,"dòng (nước); luồng (gió, không khí); (điện học) dòng điện","dòng, luồng, chiều, hướng (dư luận, tư tưởng...)",ngược dòng
equipment,i'kwipmənt,sự trang bị,"đồ trang bị, thiết bị, dụng cụ, đồ dùng cần thiết (cho một cuộc đi, cho một nhà máy...)","(từ Mỹ,nghĩa Mỹ) những phương tiện vận tải để phân biệt với các loại tài sản khác trong ngành vận tải)"
paid,pei,"trả (tiền lương...); nộp, thanh toán","(nghĩa bóng) trả công, thưởng, đền đáp lại",dành cho; đến (thăm...); ngỏ (lời khen...)
operation,",ɔpə'reiʃn",sự hoạt động; quá trình hoạt động,thao tác,"hiệu quả, tác dụng"
rates,,(Econ) Thuế địa ốc.,,
administration,"əd,minis'treiʃn","sự trông nom, sự quản lý; sự cai quản, sự cai trị","chính phủ, chính quyền",sự thi hành; việc áp dụng
theory,'θiəri,"thuyết, học thuyết",thuyết riêng,"lý thuyết, lý luận, nguyên lý"
decision,di'siʤn,"sự giải quyết (một vấn đề...); sự phân xử, sự phán quyết (của toà án)","sự quyết định, quyết nghị","tính kiên quyết, tính quả quyết"
generally,'dʤenərəli,"nói chung, đại thể","thông thường, theo như lệ thường",
agreement,ə'gri:mənt,"hiệp định, hiệp nghị","hợp đồng, giao kèo","sự bằng lòng, sự tán thành, sự đồng ý, sự thoả thuận"
organization,",ɔ:gənai'zeiʃn","sự tổ chức, sự cấu tạo","tổ chức, cơ quan",
effective,'ifektiv,có kết quả,"có hiệu lực, có kết quả","có tác động, có ảnh hưởng; gây ấn tượng"
distribution,",distri'bju:ʃn","sự phân bổ, sự phân phối, sự phân phát","sự rắc, sự rải","sự sắp xếp, sự xếp loại, sự phân loại"
respect,ris'pekt,"sự tôn trọng, sự kính trọng",(số nhiều) lời kính thăm,"sự lưu tâm, sự chú ý"
security,si'kjuəriti,"sự yên ổn, sự an toàn, sự an ninh","tổ chức bảo vệ, cơ quan bảo vệ","sự bảo đảm, vật bảo đảm"
term,tə:m,"hạn, giới hạn, định hạn","thời hạn, kỳ hạn","phiên (toà), kỳ học, quý, khoá"
insurance,in'ʃuərəns,sự bảo hiểm,tiền đóng bảo hiểm; tiền bảo hiểm được hưởng,hợp đồng bảo hiểm
function,'fʌɳkʃn,chức năng,"((thường) số nhiều) nhiệm vụ, trách nhiệm","buổi lễ; buổi họp mặt chính thức, buổi họp mặt quan trọng"
record,'rekɔ:d,(pháp lý) hồ sơ,biên bản,sự ghi chép
main,mein,cuộc chọi gà,"with might and main với tất cả sức mạnh, dốc hết sức","phần chính, phần cốt yếu, phần chủ yếu"
working,'wə:kiɳ,"sự làm việc, sự làm","sự lên men, sự để lên men (rượu, bia)","(kỹ thuật) sự hoạt động, sự chuyển vận, sự vận hành, sự dùng (máy móc)"
journal,'dʤə:nl,báo hằng ngày,tạp chí,(hàng hải); (thương nghiệp) nhật ký
loss,lɔs,sự mất,"sự thua, sự thất bại","sự thiệt hại, tổn hại, tổn thất, thua lỗ"
individual,",indi'vidjuəl","riêng, riêng lẻ, cá nhân","độc đáo, riêng biệt, đặc biệt",cá nhân; người
written,'ritn,"viết ra, được thảo ra; tren giấy tờ, thành văn bản",,
employment,im'plɔimənt,"sự dùng, sự thuê làm (công...)","sự làm công, việc làm",
volume,'vɔljum,"quyển, tập",khối,"dung tích, thể tích"
region,'ri:dʤn,"vùng, miền",tầng lớp (quyển khí...),lĩnh vực
financial,fai'nænʃəl,"(thuộc) tài chính, về tài chính",,
particularly,pə'tikjuləli,"đặc biệt, cá biệt, riêng biệt","tỉ mỉ, chi tiết",
sometimes,'sʌmtaimz,"đôi khi, đôi lúc, lắm lúc, lúc thì",,
involved,in'vɔlvd,"rắc rối, phức tạp","bị mắc míu, bị liên luỵ, bọ dính líu, bị dính dáng","để hết tâm trí vào, bị thu hút vào (công việc gì...)"
approach,ə'proutʃ,"sự đến gần, sự lại gần","sự gần như, sự gần giống như","đường đi đến, lối vào"
movement,'mu:vmənt,"sự chuyển động, sự vận động, sự cử động, sự hoạt động","động tác, cử động","hoạt động, hành động (của một người, một nhóm)"
disease,di'zi:z,"bệnh, bệnh tật",(nghĩa bóng) tệ nạn; sự hủ bại (xã hội...),
army,'ɑ:mi,quân đội,"đoàn, đám đông, nhiều vô số",
length,leɳθ,"bề dài, chiều dài, độ dài",tránh không làm thân với ai,"sau hết, cuối cùng"
extent,iks'tent,khoảng rộng,"quy mô, phạm vi, chừng mực",(pháp lý) sự đánh giá (đất rộng...)
annual,'ænjuəl,"hàng năm, năm một, từng năm",sống một năm (cây),xuất bản hàng năm (sách)
protection,protection,"sự bảo vệ, sự bảo hộ, sự che chở; sự bảo trợ","người bảo vệ, người che chở; vật bảo vệ, vật che chở",giấy thông hành
legal,'li:gəl,"hợp pháp, theo pháp luật",do pháp luật định,(thuộc) pháp luật
supply,sə'plai,"sự cung cấp, sự tiếp tế","nguồn dự trữ, kho cung cấp; đồ dự trữ; hàng cung cấp",(số nhiều) quân nhu
fund,fʌnd,kho,quỹ,(số nhiều) tiền của
goods,gudz,"của cải, động sản","hàng hoá, hàng",hàng hoá chở (trên xe lửa)
capacity,kə'pæsiti,"sức chứa, chứa đựng, dung tích","năng lực khả năng; khả năng tiếp thu, khả năng thu nhận",năng suất
judgment,'dʤʌdʤmənt,sự xét xử,"quyết định của toà; phán quyết, án","sự trừng phạt, sự trừng trị; điều bất hạnh (coi như sự trừng phạt của trời)"
institute,'institju:t,"viện, học viện; hội; trụ sở viện, trụ sở hội","(từ Mỹ,nghĩa Mỹ) cơ sở đào tạo kỹ thuật (cấp đại học)","(từ Mỹ,nghĩa Mỹ) đơn vị nghiên cứu và giảng dạy chuyên đề (ở đại học)"
engineering,",endʤi'niəriɳ","kỹ thuật kỹ sư, kỹ thuật công trình sư; nghề kỹ sư, nghề công trình sư",kỹ thuật xấy dựng ((cũng) civil engineerings),(số nhiều) ruốm khứ mánh khoé
determine,di'tə:min,"định, xác định, định rõ","quyết định, định đoạt","làm cho quyết định, làm cho có quyết tâm thôi thúc"
charge,tʃɑ:dʤ,"vật mang, vật chở, vật gánh; gánh nặng ((nghĩa đen) & (nghĩa bóng))","số đạn nạp, số thuốc nạp (vào súng); điện tích (nạp vào ắc quy); sự nạp điện, sự tích điện","tiền phải trả, giá tiền, tiền công, tiền thù lao"
directly,di'rektli,"thẳng, ngay, lập tức","thẳng, trực tiếp",
flow,flow,sự chảy,"lượng chảy, lưu lượng",luồng nước
safety,'seifti,"sự an toàn, sự chắc chắn","tính an toàn, tính chất không nguy hiểm",chốt an toàn (ở súng)
previous,'pri:vjəs,trước,"(thông tục) vội vàng, hấp tấp",kỳ thi đầu tiên để lấy bằng tú tài văn chương (trường đại học Căm-brít)
justice,'dʤʌstis,sự công bằng,"công lý, tư pháp, sự xét xử của toà án; quyền tài phán",toà án tối cao
steel,sti:l,thép,que thép (để mài dao),"(thơ ca),  (văn học) gươm, kiếm"
former,'fɔ:mə,"trước, cũ, xưa, nguyên","cái trước, người trước, vấn đề trước",
associated,,liên kết,,
entire,in'taiə,"toàn bộ, toàn thể, toàn vẹn, hoàn toàn","thành một khối, thành một mảng, liền","không thiến, không hoạn"
industrial,in'dʌstriəl,(thuộc) công nghiệp,,
equal,'i:kwəl,"ngang, bằng",ngang sức (cuộc đấu...),"đủ sức, đủ khả năng; đáp ứng được"
assistance,ə'sistəns,sự giúp đỡ,,
otherwise,'ʌðəwaiz,"khác, cách khác",nếu không thì...,"mặt khác, về mặt khác"
central,'sentrəl,"ở giữa, ở trung tâm; trung ương","chính, chủ yếu, trung tâm",sự sưởi tập trung (sưởi ấm bằng hơi nước nóng hay nước nóng chảy qua một hệ thống ống từ một nguồn ở trung tâm)
presence,'prezns,sự có mặt,"vẻ, dáng, bộ dạng",sự nhanh trí
status,'steitəs,"địa vị, thân phận, thân thế",(pháp lý) quân hệ pháp lý (giữa người này với những người khác),tình trạng
consideration,"kən,sidə'reiʃn","sự cân nhắc, sự suy xét, sự nghiên cứu, sự suy nghĩ","sự để ý, sự quan tâm, sự lưu ý","sự tôn kính, sự kính trọng"
risk,risk,"sự liều, sự mạo hiểm","sự rủi ro, sự nguy hiểm",liều
stated,'steitid,đã định,"đã được phát biểu, đã được tuyên bố",
relation,ri'leiʃn,"sự kể lại, sự thuật lại; chuyện kể lại","sự liên lạc, mối quan hệ, mối tương quan, mối liên hệ",(số nhiều) sự giao thiệp
duty,'dju:ti,"sự tôn kính, lòng kính trọng (người trên)","bổn phận, nhiệm vụ, trách nhiệm","phận sự, chức vụ, công việc, phần việc làm; phiên làm, phiên trực nhật"
failure,'feiljə,"sự không xảy ra, sự không làm được (việc gì)",sự thiếu,"sự thất bại; sự hỏng; sự mất (mùa, điện...)"
connection,kə'nekʃn,"sự liên quan, sự liên lạc, mối quan hệ; sự chấp nối",sự mạch lạc,"sự giao thiệp, sự kết giao"
literature,'litəritʃə,"văn chương, văn học",tác phẩm văn học; tác phẩm viết văn hoa bóng bảy,giới nhà văn
sufficient,sə'fiʃənt,đủ,"(từ cổ,nghĩa cổ) có khả năng; có thẩm quyền",số lượng đủ
chemical,'kemikəl,(thuộc) hoá học,,
observed,,the observed,đối tượng quan sát,
active,'æktiv,"tích cực, hoạt động; nhanh nhẹn, linh lợi","thiết thực, thực sự; có hiệu lực, công hiệu",(ngôn ngữ học) chủ động
immediately,i'mi:djətli,"ngay lập tức, tức thì",trực tiếp,
concerned,kən'sə:nd,có liên quan; có dính líu,"lo lắng, lo âu; quan tâm",
relative,'relətiv,có kiên quan,"cân xứng với, cân đối vơi, tuỳ theo",(ngôn ngữ học) quan hệ
commercial,kə'mə:ʃl,(thuộc) buôn bán; (thuộc) thương mại; (thuộc) thương nghiệp,"(từ Mỹ,nghĩa Mỹ) buổi phát thanh quảng cáo hàng",(thông tục) người chào hàng
demand,di'mɑ:nd,"sự đòi hỏi, sự yêu cầu; nhu cầu","(số nhiều) những sự đòi hỏi cấp bách (đối với thì giờ, túi tiền... của ai)","đòi hỏi, yêu cầu; cần, cần phải"
progress,progress,"sự tiến tới, sự tiến bộ; sự tiến triển, sự phát triển",sự tiến hành,"(từ cổ,nghĩa cổ) cuộc kinh lý"
iron,'aiən,sắt,chất sắc (thuốc bổ),"đồ sắt, đồ dùng bằng sắt"
economy,i:'kɔnəmi,sự quản lý kinh tế; nền kinh tế; tổ chức kinh tế,"sự tiết kiệm (thì giờ, tiền của...); phương pháp tiết kiệm",cơ cấu tổ chức
distance,'distəns,"khoảng cách, tầm xa",khoảng (thời gian),"quãng đường; (thể dục,thể thao) quãng đường chạy đua (dài 240 iat)"
coal,koul,than đá,(số nhiều) viên than đá,đổ thêm dầu vào lửa
standard,'stændəd,"cờ hiệu, cờ (đen & bóng)",(thực vật học) cánh cờ (của hoa đậu...),"tiêu chuẩn, chuẩn, mẫu"
transportation,",trænspɔ:'teiʃn","sự chuyên chở, sự vận tải","(pháp lý) sự đưa đi đày, sự đày ải; tội đày","(từ Mỹ,nghĩa Mỹ) phiếu vận tải, vé (tàu, xe)"
access,'ækses,"lối vào, cửa vào, đường vào","sự đến gần, sự cho vào, sự lui tới; quyền đến gần, quyền lui tới",sự dâng lên (nước triều)
religious,ri'lidʤəs,(thuộc) tôn giáo; (thuộc) tín ngưỡng; (thuộc) sự tu hành,"sùng đạo, mộ đạo, ngoan đạo","chu đáo, cẩn thận, tận tâm cao"
positive,'pɔzətiv,"xác thực, rõ ràng","quả quyết, khẳng định, chắc chắn",tích cực
defense,di'fens,"(từ Mỹ,nghĩa Mỹ) (như) defence",,
rest,rest,sự nghỉ ngơi; lúc nghỉ ngơi; giấc ngủ,"sự yên tâm, sự yên lòng, sự thanh thản, sự thư thái (trong tâm hồn)",sự yên nghỉ (người chết)
balance,'bæləns,cái cân,sự thăng bằng sự cân bằng; cán cân,sự cân nhắc kỹ
approximately,,"khoảng chừng, độ chừng",,
introduction,",intrə'dʌkʃn","sự giới thiệu, lời giới thiệu","sự đưa vào (phong tục, cây lạ...)",sự đưa (đạo luật dự thảo) ra nghị viện
examination,"ig,zæmi'neiʃn","sự khám xét kỹ, sự xem xét kỹ, sự thẩm tra, sự khảo sát, sự nghiên cứu",sự thi cử; kỳ thi,(pháp lý) sự thẩm tra
motor,'moutə,động cơ mô tô,ô tô,(giải phẫu) cơ vận động; dây thần kinh vận động
agriculture,'ægrikʌltʃə,nông nghiệp,bộ nông nghiệp (ở Anh),
occur,ə'kə:,"xảy ra, xảy đên",nảy ra (ý nghĩ),"xuất hiện, tìm thấy"
spirit,'spirit,tinh thần,"linh hồn, tâm hồn","thần linh, thần thánh, quỷ thần"
independent,",indi'pendənt",độc lập,"không lệ thuộc, không phụ thuộc, không tuỳ thuộc","đủ sung túc, không cần phải làm ăn gì để kiếm sống"
content,'kɔntent,nội dung,"(chỉ số ít) sức chứa, sức đựng, dung tích, dung lượng (bình, hồ, ao...); thể tích (khối đá...); diện tích, bề mặt (ruộng...)","lượng, phân lượng"
none,nʌn,"không ai, chẳng một ai, không người nào; không vật gì",chỉ,không ai khác chính là
past,pɑ:st,"(thuộc) quá khứ, đã qua, (thuộc) dĩ vãng",(ngôn ngữ học) quá khứ,"quá khứ, dĩ vãng; quá khứ không hay ho gì"
considerable,kən'sidərəbl,"đáng kể, to tát, lớn","có vai vế, có thế lực quan trọng (người)","(từ Mỹ,nghĩa Mỹ),  (thông tục) số lượng lớn, số lượng đáng kể"
maintenance,'meintinəns,"sự giữ, sự duy trì; sự bảo vệ, sự bảo quản","sự nuôi, sự cưu mang",
serious,'siəriəs,"đứng đắn, nghiêm trang, nghiêm nghị","hệ trọng, quan trọng, không thể coi thường được; nghiêm trọng, trầm trọng, nặng","đáng sợ, đáng gờm"
professor,professor,giáo sư (đại học),"(tôn giáo) giáo đồ, tín đồ",
claim,kleim,"sự đòi, sự yêu sách, sự thỉnh cầu","quyền đòi, quyền yêu sách",vật yêu sách; điều yêu sách
judge,'dʤʌdʤ,"quan toà, thẩm phán","người phân xử, trọng tài","người am hiểu, người sành sỏi"
essential,i'senʃəl,"(thuộc) bản chất, (thuộc) thực chất","cần thiết, thiết yếu, cốt yếu, chủ yếu","(thuộc) tinh chất, tinh"
majority,mə'dʤɔriti,"phần lớn, phần đông, đa số","(từ Mỹ,nghĩa Mỹ) đảng (nhóm) được đa số phiếu","tuổi thành niên, tuổi trưởng thành"
object,'ɔbdʤikt,"đồ vật, vật thể",đối tượng; (triết học) khách thể,"mục tiêu, mục đích"
reduction,ri'dʌkʃn,"sự thu nhỏ, sự giảm bớt","sự giảm giá, sự hạ giá","sự biến đổi (sang một trạng thái, hình thức kém hơn, thấp hơn)"
highly,'haili,"rất, lắm, hết sức, ở mức độ cao","tốt, cao; với ý tôn trọng, với ý ca ngợi",nói tốt về ai; ca ngợi ai
reasonable,'ri:znəbl,"có lý, hợp lý","biết lẽ phải, biết điều; vừa phải, phải chăng","(từ hiếm,nghĩa hiếm) có lý trí; biết suy luận, biết suy nghĩ"
responsible,ris'pɔnsəbl,chịu trách nhiệm,"có trách nhiệm; đứng đắn, đáng tin cậy; có uy tín (người)",chính phủ không chuyên quyền
practical,'præktikəl,thực hành (đối với lý thuyết),"thực tế, thực tiễn, thực dụng; có ích, có ích lợi thực tế, thiết thực","đang thực hành, đang làm, đang hành nghề"
instance,'instəns,"thí dụ, ví dụ (chứng minh, minh hoạ)",trường hợp cá biệt,(pháp lý) sự xét xử
principle,'prinsəpl,"gốc, nguồn gốc, yếu tố cơ bản","nguyên lý, nguyên tắc","nguyên tắc đạo đức, phép tắc, phương châm xử thế"
critical,'kritikəl,"phê bình, phê phán","hay chỉ trích, hay chê bai; có ý kiến chống lại; khó tính, khó chiều","nguy cấp, nguy ngập, nguy kịch"
relatively,'relətivli,"có liên quan, có quan hệ với",tương đối,
approved,ə'pru:vd,"được tán thành, được đồng ý, được bằng lòng, được chấp thuận","được phê chuẩn, được chuẩn y",trường của nhà nước dành cho trẻ em phạm tội
frequency,,(Tech) tần số,,
responsibility,"ris,pɔnsə'biliti",trách nhiệm,gánh trách nhiệm; cái phải gánh vác,
cultural,'kʌltʃərəl,(thuộc) văn hoá,(thuộc) trồng trọt,
appeal,ə'pi:l,sự kêu gọi; lời kêu gọi,"lời thỉnh cầu, sự cầu khẩn",(pháp lý) sự chống án; quyền chống án
obtain,əb'tein,"đạt được, thu được, giành được, kiếm được","đang tồn tại, hiện hành, thông dụng",
existence,ig'zistəns,"sự tồn tại, sự sống, sự sống còn; cuộc sống",sự hiện có,"vật có thật, vật tồn tại, những cái có thật; thực thể"
location,lou'keiʃn,vị trí,"sự xác định vị trí, sự định vị","(từ Mỹ,nghĩa Mỹ) khu đất được cắm để chuẩn bị xây dựng"
election,i'lekʃn,sự chọn,sự bầu cử; cuộc tuyển cử,(tôn giáo) sự chọn lên thiên đường
foundation,faun'deiʃn,"sự thành lập, sự sáng lập, sự thiết lập","tổ chức (học viện, nhà thương... do một quỹ tư cấp tiền)",nền móng
benefit,'benifit,"lợi, lợi ích","buổi biểu diễn; trận đấu (lấy tiền ủng hộ, tương tế) ((cũng) benifit night; benifit match)","tiền trợ cấp, tiền tuất"
above,ə'bʌv,"trên đầu, trên đỉnh đầu",ở trên,trên thiên đường
investigation,"in,vesti'geiʃn",sự điều tra nghiên cứu,,
pattern,'pætən,"kiểu mẫu, gương mẫu",mẫu hàng,"mẫu, mô hình, kiểu"
determination,"di,tə:mi'neiʃn","sự xác định, sự định rõ",sự quyết định,tính quả quyết; quyết tâm
concept,,"(Tech) khái niệm, quan niệm",,
complex,'kɔmleks,"phức tạp, rắc rối","mớ phức tạp, phức hệ",nhà máy liên hợp; khu công nghiệp liên hợp
network,'netwə:k,"lưới, đồ dùng kiểu lưới","mạng lưới, hệ thống",(kỹ thuật) hệ thống mắc cáo
civil,'sivl,(thuộc) công dân,(thuộc) thường dân (trái với quân đội),(thuộc) bên đời (trái với bên đạo)
laboratory,lə'bɔrətəri,phòng thí nghiệm; phòng pha chế,"phòng thí nghiệm ""nóng"" (nơi tiến hành những cuộc thí nghiệm nguy hiểm có thể chết người)","buồng lò, buồng luyện (luyện kim)"
completely,kəm'pli:tli,"hoàn toàn, đầy đủ, trọn vẹn",,
regulation,",regju'leiʃn","sự điều chỉnh, sự sửa lại cho đúng","sự sắp đặt, sự quy định, sự chỉnh lý, sự chỉnh đốn (công việc...)","điều quy định, quy tắc, điều lệ"
merely,'miəli,"chỉ, đơn thuần",,
improvement,im'pru:vmənt,"sự cải tiến, sự cải thiện, làm cho tốt hơn; sự trau dồi, sự mở mang (trí tuệ, kiến thức...)","sự sửa sang, sự đổi mới (cho đẹp, tốt hơn)","sự tiến bộ, sự tốt hơn, sự khá hơn"
internal,in'tə:nl,"ở trong, nội bộ",trong nước,"(thuộc) nội tâm, (thuộc) tâm hồn, từ trong thâm tâm; chủ quan"
regarding,ri'gɑ:diɳ,đối với (vấn đề...); về phần,,
upper,' p,"trên, cao, thượng","(địa lý,địa chất) muộn","mặc ngoài, khoác ngoài (áo)"
maintain,men'tein,"giữ, duy trì, bảo vệ, bảo quản","giữ vững, không rời bỏ","bảo vệ, xác nhận rằng"
entirely,in'taiəli,"toàn bộ, toàn vẹn, trọn vẹn; hoàn toàn",,
frequently,,thường xuyên,,
fuel,fjuəl,"chất đốt, nhiên liệu",cái khích động,lửa cháy đổ thêm dầu
constitution,",kɔnsti'tju:ʃn",hiến pháp,"thể tạng, thể chất","tính tình, tính khí"
forth,fɔ:θ,"về phía trước, ra phía trước, lộ ra",vân vân,từ nay về sau
comparison,kəm'pærisn,sự so sánh,khi so sánh,so với
vice,vais,"thói xấu, nết xấu, thói hư tật xấu","sự truỵ lạc, sự đồi bại","chứng, tật (ngựa)"
appointed,ə'pɔintid,"được bổ nhiệm, được chỉ định, được chọn",định hạn,"được trang bị, được thiết bị"
limited,'limitid,"có hạn, hạn chế, hạn định",,
ordinary,'ɔ:dnri,"thường, thông thường, bình thường, tầm thường",(quân sự) ((viết tắt) O.S) binh nhì hải quân,"điều thông thường, điều bình thường"
