word,pronunciation,meaning1,meaning2,meaning3
creed,kri:p,tín điều,tín ngưỡng,
alumni,ə'lʌmnəs,(nguyên) học sinh; (nguyên) học sinh đại học,,
condenser,kən'densə,(vật lý) bình ngưng,cái tụ điện,cái tụ sáng
bliss,blis,hạnh phúc; niềm vui sướng nhất,,
condensed,kən'denst,cô đặc,súc tích,
auspices,,(under the auspices of somebody / something) được ai/cái gì che chở và ủng hộ; có ai/cái gì đỡ đầu,to set up a business under the auspices of a government aid scheme,bắt đầu công việc kinh doanh dưới sự bảo trợ của chương trình viện trợ của chính phủ
predetermined,,được xác định trước; được thiết lập sơ bộ,,
ascending,,"(Tech) thăng, tăng lên, lên cao (d)",,
barracks,,trại lính; doanh trại,"As punishment, the men were confined to barracks","Mọi người bị trừng phạt, không được phép ra khỏi doanh trại"
stipulated,,như được quy định,,
credentials,kri'denʃəlz,"giấy uỷ nhiệm, thư uỷ nhiệm, quốc thư",,
stabilized,,được ổn định,,
debentures,,(Econ) Trái khoán công ty.,,
celestial,si'lestjəl,(thuộc) trời,có tính chất như thiên đàng; như thiên đàng,
multilateral,'mʌlti'lætərəl,nhiều phía,,
collaborative,,xem collaborate,,
promotional,,(thuộc) quảng cáo (để bán hàng ),,
gracious,'greiʃəs,"thanh thanh, lịch sự","có lòng tốt, tử tế","từ bi, nhân từ; độ lượng, khoan dung"
metaphysics,",metə'fiziks",siêu hình học,lý thuyết suông; lời nói trừu tượng,
lofty,'lɔfti,"cao, cao ngất","kiêu căng, kiêu kỳ, kiêu ngạo","cao thượng, cao quý"
ornamental,",ɔ:nə'mentl","có tính chất trang hoàng, có tính chất trang trí, có tính chất trang sức; để trang trí, để trang sức",,
proviso,proviso,"điều khoản, điều qui định; điều kiện (trong một hiệp định, giao kèo...)",,
measurable,'meʤərəbl,"đo được, lường được","vừa phải, phải chăng",sắp thành công
kernel,'kə:nl,(thực vật học) nhân (trong quả hạch),hạt (lúa mì),"(nghĩa bóng) bộ phận nòng cốt, bộ phận chủ yếu"
lace,leis,"dây, buộc, dải buộc","ren, đăng ten","thắt, buộc"
naive,nɑ:'i:v,"ngây thơ, chất phác","ngờ nghệch, khờ khạo",
hallway,'hɔ:lwei,"(từ Mỹ,nghĩa Mỹ) phòng trước",hành lang,
maternity,mə'tə:niti,"tính chất người mẹ, nhiệm vụ người mẹ",,
installment,in'stɔ:lmənt,"phần trả mỗi lần (của một số tiền); phần cung cấp mỗi lần, phần đăng (báo...) mỗi lần",,
pore,pɔ:,"((thường) + over,  upon) mải mê nghiên cứu; (nghĩa bóng) nghiền ngẫm","(từ cổ,nghĩa cổ) ((thường) + at,  on,  over) nhìn sát vào, nhìn đăm đăm vào",nhìn sát
enlarge,in'lɑ:dʤ,"mở rộng, tăng lên, khuếch trương",(nhiếp ảnh) phóng,"(từ cổ,nghĩa cổ) thả, phóng thích"
additive,'æditiv,"để cộng vào, để thêm vào","vật để cộng vào, vật để thêm vào",(kỹ thuật) chất cho thêm vào (vào dầu máy...)
emulsion,i'mʌlʃn,(hoá học) thể sữa,,
foreclosure,fɔ:'klouʤə,(pháp lý) sự tịch thu tài sản để thế nợ,,
flange,flændʤ,"(kỹ thuật) cái mép bích; mép, cạnh","(ngành đường sắt) mép bánh xe, vành bánh xe",gờ nổi
solicitation,"sə,lisi'teiʃn","sự khẩn khoản, sự nài xin","sự gạ gẫm, sự níu kéo, sự chài khách",sự xúi giục
fertilization,",fə:tilai'zeiʃn",sự làm cho màu mỡ được,"(sinh vật học) sự thụ tinh, sự thụ thai",
oscillator,'ɔsileitə,máy dao động,,
vaginal,və'dʤainəl,"(thuộc) bao, (thuộc) vỏ bọc",(giải phẫu) (thuộc) âm đạo,
prostate,prostate,(giải phẫu) tuyến tiền liệt,,
adrenal,æd'ri:nəl,"(giải phẫu) trên thận, thượng thận","(giải phẫu) tuyến trên thận, tuyến thượng thận",
amorphous,ə'mɔ:fəs,"tính không có hình dạng nhất định, tính vô định hình",(khoáng chất) không kết tinh,
overt,'ouvə:t,"công khai, không úp mở",,
anatomical,",ænə'tɔmikəl",(thuộc) khoa giải phẫu,"(thuộc) kết cấu, (thuộc) tổ chức (cơ thể...)",
precursor,pri:'kə:sə,"người đến báo trước, người báo trước, điềm báo trước","người đảm nhiệm trước, người phụ trách trước (một công việc gì)",
marijuana,,Cách viết khác : marihuana,,
syrian,'siriən,(thuộc) Xy-ri,người Xy-ri,
vietnamese,",vjetnə'mi:z",(thuộc) Việt nam,người Việt nam,tiếng Việt
feminism,'feminizm,thuyết nam nữ bình quyền,phong trào đòi bình quyền cho phụ nữ,
edible,'edibl,có thể ăn được (không độc),vật ăn được,(số nhiều) thức ăn
scots,,"(Scots)  (thuộc) xứ Xcốt-len, (thuộc) người Xcốt-len, (thuộc) phương ngữ tiếng Anh ở Xcốt-len",phương ngữ tiếng Anh (vốn vẫn được nói ở Xcốt-len),
contemplate,'kɔntempleit,"ngắm, thưởng ngoạn",lặng ngắm,"dự tính, dự định, liệu trước, chờ đợi (một việc gì)"
pious,'paiəs,ngoan đạo,"(từ cổ,nghĩa cổ) hiếu thảo, lễ độ",một sự lừa dối có thiện ý
jurisprudence,"'dʤuəris,pru:dəns","khoa luật pháp, luật học",sự giỏi về luật pháp,
equivalence,i'kwivələns,tính tương đương; sự tương đương,,
coercion,kou'ə:ʃn,sự ép buộc; tình trạng bị ép buộc,sự áp bức,
chord,kɔ:d,(thơ ca) dây (đàn hạc),(toán học) dây cung,"(giải phẫu) dây, thừng"
ventricular,ven'trikjulə,"(thuộc) tâm thất, (thuộc) não thất",,
dementia,di'menʃiə,(y học) chứng mất trí,,
pelvic,'pelvik,"(giải phẫu) (thuộc) chậu, (thuộc) khung chậu",,
chronology,krə'nɔlədʤi,"niên đại học, khoa nghiên cứu niên đại",sự sắp xếp theo niên đại,bảng niên đại
nitric,'naitrik,(hoá học) Nitric,,
epilepsy,'epilepsi,(y học) động kinh,,
feudal,'fju:dl,"(từ Mỹ,nghĩa Mỹ) mang mối hận thù, mang mối cừu hận, mang mối thù truyền kiếp",phong kiến,
metallurgy,me'tælədʤi,sự luyện kim; nghề luyện kim,môn luyện kim,
bibliographical,",bibliə'græfik",(thuộc) thư mục,,
alto,'æltou,(âm nhạc) giọng nữ trầm; giọng nam cao,người hát giọng nữ trầm; người hát giọng nam cao,bè antô
reciprocity,",resi'prɔsiti","sự nhân nhượng, sự trao đổi lẫn nhau, sự có đi có lại",sự dành cho nhau những đặc quyền (giữa hai nước),(toán học) tính đảo nhau
diocese,'daiəsis,giáo khu,,
lapse,læps,"sự lầm lẫn, sự sai sót","sự sa ngâ, sự suy đồi, sự truỵ lạc","khoảng, quãng, lát, hồi"
apical,'æpikəl,"(thuộc) đỉnh, (thuộc) ngọn",điểm apec,"đặt ở ngọn, đặt ở đỉnh"
pervasive,pə:'veisiv,toả khắp,"lan tràn khắp, thâm nhập khắp",
bacillus,bə'siləs,khuẩn que,,
convent,'kɔnvənt,"nữ tu viện, nhà tu kín",,
affiliate,ə'filieit,"nhận làm chi nhánh, nhận làm hội viên","(+ to,  with) nhập, liên kết (tổ chức này vào một tổ chức khác)",(pháp lý) xác định tư cách làm bố (một đứa con hoang để có trách nhiệm nuôi)
epic,'epik,"thiên anh hùng ca, thiên sử thi","có tính chất anh hùng ca, có tính chất sử thi","có thể viết thành anh hùng ca, có thể viết thành sử thi"
aesthetics,i:s'θetiks,mỹ học,,
amateur,'æmətə:,tài tử; người ham chuộng,"(định ngữ) có tính chất tài tử, nghiệp dư, không chuyên",
peril,'peril,"sự nguy hiểm, hiểm hoạ, cơn nguy",sự liều,"đẩy vào chỗ nguy hiểm, làm nguy hiểm"
parentheses,pə'renθisis,((thường)) dấu ngoặc đơn,"từ trong dấu ngoặc, câu trong dấu ngoặc",(nghĩa bóng) sự việc xen vào giữa (hai sự việc khác nhau) khoảng cách; thời gian nghỉ tạm (giữa hai màn kịch...)
intuitive,in'tju:itiv,trực giác,,
convection,kən'vekʃn,(vật lý) sự đối lưu,,
sown,sau,gieo,gieo gió gặt bão,lợn cái; lợn nái
porosity,pɔ:'rɔsiti,"trạng thái rỗ, trạng thái thủng tổ ong",trạng thái xốp,
axle,'æksl,(kỹ thuật) trục xe,,
glue,glu:,keo hồ,"gắn lại, dán bằng keo, dán bằng hồ",(nghĩa bóng) ((thường) dạng bị động) bám chặt lấy; dán vào
inoculation,"i,nɔkju'leiʃn","sự chủng, sự tiêm chủng",sự tiêm nhiễm,(nông nghiệp) sự ghép (cây)
memoir,'memwɑ:,luận văn,"(số nhiều) truyện ký, hồi ký",(số nhiều) tập ký yếu
wretched,'retʃid,"khốn khổ, cùng khổ; bất hạnh","xấu, tồi, đáng chê","thảm hại, quá tệ"
hare,heə,(động vật học) thỏ rừng,"(tục ngữ) chưa đẻ chớ vội đặt tên, chưa có trong tay đừng nên nói chắc","trò chơi chạy đuổi rắc giấy (một người chạy rắc giấy ở đằng sau, người khác theo vết giấy mà tìm)"
millennium,mi'leniəm,"nghìn năm, mười thế kỷ",thời đại hoàng kim,
cohesion,kou'hi:ʤn,"sự dính liền, sự cố kết",(vật lý) lực cố kết,
fluoride,fluoride,(hoá học) Florua,,
multiplicity,",mʌlti'plisiti",vô số,,
arsenic,'ɑ:snik,(hoá học) Asen,(hoá học) Asen,
quorum,'kwɔ:rəm,số đại biểu quy định (cần thiết để biểu quyết một vấn đề),,
cartilage,'kɑ:tilidʤ,sụn,,
diversification,"dai,və:sifi'keiʃn","sự làm cho thành nhiều dạng, sự làm cho thành nhiều vẻ",,
contributory,kən'tribjutəri,"đóng góp, góp phần, chịu phần, gánh vác",phụ thêm vào,(pháp lý) sự bất cẩn để xảy ra tai nạn (dẫn chứng nhằm giảm tiền bồi thường)
lunar,'lu:nə,(thuộc) mặt trăng,"mờ nhạt, không sáng lắm",hình lưỡi liềm
cigar,si'gɑ:,điếu xì gà,,
clutch,klʌtʃ,ổ trứng ấp,ổ gà con,"sự giật lấy, sự chộp lấy"
dictatorship,dik'teitəʃip,chế độ độc tài; nền chuyên chính,,
epoch,'i:pɔk,"sự bắt đầu của một kỷ nguyên (trong lịch sử, trong đời...)",,
sedimentary,",sedi'mentəri",có cặn; thuốc cặn,"(địa lý,địa chất) trầm tích; do trầm tích",
speedy,'spi:di,"mau lẹ, nhanh chóng; ngay lập tức",,
ingenious,in'dʤi:njəs,khéo léo,"tài tình, mưu trí",
adjournment,ə'dʤə:nmənt,sự hoãn lại,sự dời sang một nơi khác (để hội họp); sự chuyển chỗ hội họp,"sự ngừng họp (để sau này họp lại, hoặc để họp phân tán)"
flank,flæɳk,"sườn, hông",sườn núi,"(quân sự) sườn, cánh"
geometrical,dʤiə'metrik,(thuộc) hình học,,
vengeance,'vendʤəns,"sự trà thù, sự báo thù",(thông tục) hoàn toàn; không sai,dữ dội; ở mức độ cao hơn là mong đợi
redistribution,"'ri:,distri'bju:ʃn",sự phân phối lại,,
uniquely,,"đơn nhất; độc nhất vô nhị, chỉ có một","duy nhất, vô song (không có cái gì giống hoặc bằng)","chỉ liên quan đến một người (một nhóm, một vật)"
waive,weiv,"(pháp lý) bỏ, từ bỏ, khước từ",,
psychoanalysis,,"phân tâm học, sự phân tích tâm lý",,
oscillation,",ɔsi'leiʃn","sự lung lay, sự đu đưa","sự lưỡng lự, sự do dự; sự dao động",(kỹ thuật) sự dao động
preparatory,pri'pærətəri,"để sửa soạn, để chuẩn bị, để dự bị",trường dự bị,
gigantic,dʤai'gæntik,"khổng lồ, kếch x",,
isolate,'aisəleit,cô lập,(y học) cách ly,(điện học) cách
multimedia,,"đa phương tiện, đa môi trường, đa truyền thông",,
perennial,pə'renjəl,"có quanh năm, kéo dài quanh năm; chảy quanh năm (dòng suối)","lưu niên, sống lâu năm","tồn tại mãi mãi, vĩnh viễn, bất diệt"
immaterial,",imə'tiəriəl","vô hình, phi vật chất","không quan trọng, vụn vặt",
brace,breis,vật (để) nối,"(kiến trúc) trụ chống, thanh giằng",đôi
amplification,",æmplifi'keiʃn",sự mở rộng,(rađiô) sự khuếch đại,
syndicate,'sindikit,"Xanhđica, công đoàn, nghiệp đoàn",tổ chức cung cấp bài báo (cho một số báo để cùng đăng một lúc),nhóm uỷ viên ban đặc trách (đại học Căm-brít)
pharmacology,",fɑ:mə'kɔlədʤi",dược lý,,
particulate,,hạt; chất hạt,particulate radioactive,hạt phóng xạ
motif,mou'ti:f,(văn học) chủ đề quán xuyến,(âm nhạc) nhạc tố,ren rời (mẫu ren rời khâu vào áo để trang trí)
reckless,'reklis,"không lo lắng, không để ý tới; coi thường","thiếu thận trọng, khinh suất, liều lĩnh, táo bạo",
livelihood,'laivlihud,"cách sinh nhai, sinh kế",,
checklist,,(Tech) danh sách kiểm,,
omit,ou'mit,"bỏ sót, bỏ quên, bỏ đi (một từ...)","không làm tròn (công việc), chểnh mảng",
baton,'bætən,dùi cui (cảnh sát),gậy chỉ huy,"(thể dục,thể thao) que gỗ truyền tay (chạy tiếp sức)"
cove,kouv,"(địa lý,địa chất) vịnh nhỏ, vũng","(kiến trúc) vòm, khung to vò","chỗ kín đáo, nơi kín đáo"
aftermath,'ɑ:ftəmæθ,(như) after-grass,"hậu quả, kết quả (thường là tai hại)",
durability,",djuərə'biliti","tính bền, tính lâu bền",,
foundry,'faundri,"lò đúc, xưởng đúc",,
prostitution,prostitution,"sự làm đĩ, sự mãi dâm","(nghĩa bóng) sự bán rẻ (danh dự, tài năng...)",
futile,'fju:tail,"vô ích, không có hiệu quả",không đáng kể; phù phiếm,
cholera,'kɔlərə,"(y học) bệnh dịch tả, bệnh tả",,
consolidate,kən'sɔlideit,"làm (cho) chắc, củng cố","hợp nhất, thống nhất","trở nên chắc chắn, trở nên vững chắc"
mammalian,mæ'meiljən,"(thuộc) thú, (thuộc) loài động vật có vú","loài thú, loài động vật có vú",
deter,di'tə:,"ngăn cản, ngăn chặn, cản trở; làm nản lòng, làm nhụt chí, làm thoái chí",,
seam,si:m,đường may nổi,vết sẹo,đường phân giới
horizontally,,theo chiều ngang,,
ext,,"ngoài, ngoại",số máy (điện thoại) phụ,
invariant,in'veəriənt,"không thay đổi, bất biến","(toán học) lượng không đổi, lượng bất biến",
judy,,"(thường) viết hoa,  (từ lóng) cô gái; cô nàng",,
enumeration,"i,nju:mə'reiʃn",sự đếm; sự kể; sự liệt kê,bản liệt kê,
rivalry,'raivəlri,"sự cạnh tranh, sự kình địch, sự ganh đua, sự tranh tài, sự đua tài",,
filament,'filəmənt,"sợi nhỏ, dây nhỏ, tơ","sợi đèn, dây tóc (đèn)",(thực vật học) chỉ nhị
molybdenum,mɔ'libdinəm,(hoá học) Molypdden,,
restitution,",resti'tju:ʃn","sự hoàn lại, sự trả lại (vật bí mật); sự bồi thường",(vật lý) sự hồi phục (trạng thái cũ),
enormously,,"to lớn, khổng lồ","vô cùng, hết sức",
malice,'mælis,"tính hiểm độc, ác tâm",,
expedient,iks'pi:djənt,"có lợi, thiết thực; thích hợp","cách, chước, kế, thủ đoạn, mưu chước (vì mục đích cá nhân)",
hospitalization,",hɔspitəlai'zeiʃn",sự đưa vào bệnh viện,sự nằm bệnh viện,thời kỳ nằm bệnh viện
privatization,,(Econ) Tư nhân hoá,,
meteorological,",mi:tjərə'lɔdʤikəl","khí trời, (thuộc) thời tiết",,
simulate,'simjuleit,"giả vờ, giả cách",đóng vai,đội lốt; bắt chước; dựa theo
reluctantly,,"miễn cưỡng; bất đắc dự, không tự nguyện, không sẵn lòng","trơ trơ, khó bảo, khó làm",
adversary,'ædvəsəri,"kẻ địch, kẻ thù; đối phương, đối thủ",,
promoter,promoter,"người sáng lập, người tham gia sáng lập (một công ty buôn bán); người đề xướng, người khởi xướng (một kế hoạch...)",(hoá học) chất hoạt hoá,
illuminating,"i,lu:mineitiɳ","chiếu sáng, rọi sáng, soi sáng",làm sáng tỏ,"làm sáng mắt, làm sáng trí"
token,'toukən,"dấu hiệu, biểu hiện","vật kỷ niệm, vật lưu niệm","bằng chứng, chứng"
pilgrimage,'pilgrimidʤ,cuộc hành hương,(nghĩa bóng) kiếp sống (tựa như một cuộc du hành),đi hành hương
nil,nil,không,,
alleviate,ə'li:vieit,"làm nhẹ bớt, làm giảm bớt, làm đỡ, làm dịu, làm khuây (sự đau, nỗi đau khổ, nỗi phiền muộn)",,
endogenous,en'dɔdʤinəs,"(sinh vật học); (địa lý,địa chất) sinh trong, nội sinh",,
contributor,kən'tribjutə,"người đóng góp, người góp phần",người cộng tác (với một tờ báo),
humility,hju:'militi,"sự khiêm tốn, sự nhún nhường",tình trạng kém; địa vị hèn mọn,
poly,,<thgt> trường bách khoa,,
socket,'sɔkit,"lỗ, hốc, hố",để,đui đèn
elaboration,"i,læbə'reiʃn","sự thảo tỉ mỉ, sự thảo kỹ lưỡng, sự sửa soạn công phu; sự làm công phu; sự dựng lên","(sinh vật học) sự chế tạo, sự sản ra",
conducive,kən'dju:vis,"có ích, có lợi","đưa đến, dẫn đến",
proxy,proxy,"sự uỷ nhiệm, sự uỷ quyền","người đại diện, người thay mặt, người được uỷ nhiệm (làm thay việc gì)",giấy uỷ nhiệm bầu thay; sự bầu thay
hereof,hiər'ɔv,"(từ cổ,nghĩa cổ) về cái này",,
foremost,'fɔ:moust,"đầu tiên, trước nhất","đứng đầu, cao nhất, tốt nhất, trên hết, lỗi lạc nhất","trước tiên, trước hết, trước nhất"
toxin,'tɔksin,độc tố toxin,,
allocate,'æləkeit,chỉ định; dùng (số tiền vào việc gì),cấp cho (ai cái gì),"phân phối, phân phát; chia phần"
jurisdictional,,xem jurisdiction,,
completeness,kəm'pli:tnis,"tính chất hoàn toàn, tính chất đầy đủ, tính chất trọn vẹn",,
orient,'ɔ:riənt,(the orient) phương đông,nước ánh (của ngọc trai),ngọc trai (loại quý nhất)
staircase,'steəkeis,cầu thang,(kiến trúc) lồng cầu thang,
observable,əb'zə:vəbl,"có thể quan sát được, có thể nhận thấy được, dễ thấy","đáng chú ý, đáng kể",có thể tổ chức (ngày kỷ niệm...)
opaque,ou'peik,"mờ đục, không trong suốt",(vật lý) chắn sáng,tối tăm
ensemble,Ỵ:n'sỴ:mbl,toàn bộ; ấn tượng chung,(âm nhạc) khúc đồng diễn; đồng diễn,(sân khấu) đoàn hát múa
stochastic,,(Econ) Tính ngẫu nhiên thống kê.,,
effluent,'efluənt,"phát ra, tuôn ra (ánh sáng, điện...)","nhánh, dòng nhánh, sông nhánh",
compensatory,kəm'pensətiv,"đền bù, bồi thường",(kỹ thuật) bù,
suture,'sju:tʃə,"(sinh vật học) đường nối, đường ráp, đường khớp",(y học) sự khâu; chỉ khâu; đường khâu (vết thương),"(y học) khâu (vết thương, vết mổ...)"
intangible,in'tændʤəbl,không thể sờ thấy được,"không thể hiểu thấu được, không thể nắm được, mơ hồ",vật không thể sờ thấy được
externally,,"theo bên ngoài, theo bề ngoài",,
indignation,",indig'neiʃn","sự căm phẫn, sự phẫn nộ, sự công phẫn",,
disintegration,"dis,inti'greiʃn","sự làm tan rã, sự làm rã ra",(hoá học) sự phân huỷ,
ceremonial,",seri'mounjəl","nghi lễ, nghi thức",sự tuân theo nghi thức,"thuộc nghi lễ, thuộc nghi thức"
submerged,,chìm; ngập; ở dưới mặt biển,,
assassination,"ə,sæsi'neiʃn",sự ám sát,vụ ám sát,
prudence,prudence,"sự thận trọng, sự cẩn thận; tính thận trọng, tính cẩn thận",sự khôn ngoan; tính khôn ngoan,
scout,skaut,(quân sự) người trinh sát; sự đi trinh sát; sự do thám,tàu thám thính,máy bay nhỏ và nhanh
schema,'ski:mə,"lược đồ, giản đồ, sơ đồ",,
expulsion,iks'pʌlʃn,"sự đuổi, sự tống ra, sự trục xuất","(y học) sự sổ (thai, nhau)",
hemoglobin,",hi:mou'gloubin",Hemoglobin,,
usable,'ju:z bl,"có thể dùng được, sử dụng được",,
hind,haind,(động vật học) hươu cái,tá điền,người quê mùa cục mịch
negotiable,ni'gouʃjəbl,có thể thương lượng được,"có thể đổi thành tiền, có thể chuyển nhượng cho người khác để lấy tiền, có thể trả bằng tiền (chứng khoán, hối phiếu, ngân phiếu)","có thể đi qua được (đường sá, sông...); có thể vượt qua được (núi, vật chướng ngại...)"
affirm,ə'fə:m,"khẳng định, xác nhận; quả quyết","(pháp lý) xác nhân, phê chuẩn",
therewith,",ðeəwi'ðɔ:l","với cái đó, với điều đó","thêm vào đó, ngoài ra",
conscientious,",kɔnʃi'enʃəsnis","có lương tâm, tận tâm, chu đáo, tỉ mỉ, cẩn thận, cơ chỉ",người từ chối nhập ngũ vì lương tâm thấy không đúng,
incumbent,in'kʌmbənt,"(từ Mỹ,nghĩa Mỹ) người giữ một chức vụ",(tôn giáo) người giữ một thánh chức,là phận sự của
plight,plait,"hoàn cảnh, cảnh ngộ (khốn khổ, tuyệt vọng...)","(văn học) lời hứa, lời cam kết, lời thề nguyền (giữa đôi trai gái...)","văn hứa hẹn, cam kết, thề nguyền"
fictitious,fik'tiʃəs,"hư cấu, tưởng tượng, không có thực",giả,
impurity,im'pjuəriti,"sự không trong sạch, sự không tinh khiết; sự dơ bẩn, sự ô uế ((cũng) impureness)",chất bẩn,"sự không trinh bạch, sự không trong trắng"
anomalous,ə'nɔmələs,"bất thường, dị thường; không có quy tắc",,
anal,'einəl,(giải phẫu) (thuộc) hậu môn,,
surplus,'sə:pləs,"số dư, số thừa, số thặng dư",(định ngữ) thặng dư,
imbalance,im'bæləns,sự không cân bằng; sự thiếu cân bằng,(sinh vật học) sự thiếu phối hợp (giữa các cơ hoặc các tuyến),
