word,pronunciation,meaning1,meaning2,meaning3
member,'membə,"(sinh vật học) chân, tay, chi",bộ phạn (của một toàn thể),"thành viên, hội viên"
south,sauθ,"hướng nam, phương nam, phía nam",miền nam,gió nam
similar,'similə,"giống nhau, như nhau, tương tự",(toán học) đồng dạng,"vật giống, vật tương tự"
secretary,'sekrətri,"thư ký, bí thư","bộ trưởng, tổng trưởng","(từ Mỹ,nghĩa Mỹ) (như) secretaire"
left,left,trái; tả,"về phía trái, về phía tả","phía trái, phía tả"
need,ni:d,sự cần,"tình cảnh túng thiếu; lúc khó khăn, lúc hoạn nạn",thứ cần dùng nhu cầu
received,,được thừa nhận rộng rãi là đúng,,
making,'meikiɳ,"sự làm, sự chế tạo; cách làm, cách chế tạo","sự tiến bộ, sự thành công, sự lớn lên; nguyên nhân tiến bộ, nguyên nhân thành công","(số nhiều) đức tính, tài năng; yếu tố"
death,deθ,sự chết; cái chết,"sự tiêu tan, sự tan vỡ, sự kết liễu, sự chấm dứt","(thông tục) thạo bắn (thú, chim...); thạo, giỏi, cừ (về cái gì...)"
model,moud,"kiểu, mẫu, mô hình","(nghĩa bóng) người làm gương, người gương mẫu",(thông tục) người giống hệt; vật giống hệt
purpose,'pə:pəs,"mục đích, ý định","chủ định, chủ tâm","ý nhất định, tính quả quyết"
early,'ə:li,"sớm, ban đầu, đầu mùa",gần đây,"sớm, ở lúc ban đầu, ở đầu mùa"
force,fɔ:s,thác nước,"sức, lực, sức mạnh","vũ lực, quyền lực; sự bắt buộc"
include,in'klu:d,"bao gồm, gồm có","tính đến, kể cả",
major,'meidʤə,(quân sự) thiếu tá (lục quân),"(từ Mỹ,nghĩa Mỹ) con trai đến tuổi thành niên (21 tuổi)",chuyên đề (của một sinh viên)
thought,ðou,"sự suy nghĩ, sự ngẫm nghĩ, sự nghĩ ngợi, sự trầm tư","ý nghĩ, tư tưởng","ý, ý, kiến, ý định, ý muốn"
support,sə'pɔ:t,sự ủng hộ,người ủng hộ,"người nhờ cậy, nơi nương tựa, cột trụ (của gia đình...); nguồn sinh sống"
oil,ɔil,dầu,(số nhiều) tranh sơn dầu,"(thông tục) sự nịnh nọt, sự phỉnh nịnh"
higher,,"cao hơn, có cấp cao hơn",,
knowledge,'nɔlidʤ,sự biết,"sự nhận biết, sự nhận ra",sự quen biết
north,nɔ:θ,"hướng bắc, phương bắc, phía bắc",miền bắc,gió bấc
whole,houl,"bình an vô sự, không suy suyển, không hư hỏng","đầy đủ, nguyên vẹn, nguyên chất, trọn vẹn, toàn bộ","(từ cổ,nghĩa cổ) khoẻ mạnh"
population,",pɔpju'leiʃn",số dân,(the population) dân cư,
west,west,"hướng tây, phưng tây, phía tây",miền tây,"(the West) phưng tây, các nước phưng tây; miền tây nước Mỹ; miền tây nước Anh; xứ Ê-cốt, xứ Ai-len"
account,ə'kaunt,sự tính toán,"sự kế toán; sổ sách, kế toán","bản kê khai; bản thanh toán tiền, bản ghi những món tiền phải trả"
structure,'strʌktʃə,"kết cấu, cấu trúc","công trình kiến trúc, công trình xây dựng",
addition,ə'diʃn,(toán học) tính cộng; phép cộng; sự cộng lại,"sự thêm, phần thêm",
capital,'kæpitl,"thủ đô, thủ phủ",chữ viết hoa,"tiền vốn, tư bản"
ever,'evə,"bao giờ; từ trước đến giờ; hàng, từng","luôn luôn, mãi mãi",(thông tục) nhỉ
single,'siɳgl,"đơn, đơn độc, một mình, chỉ một","đơn độc, cô đơn, không vợ, không chồng, ở vậy","một, dù là một"
training,'treiniɳ,"sự dạy dỗ, sự rèn luyện; sự đào tạo","(thể dục,thể thao) sự tập dượt",sự uốn cây
plant,plɑ:nt,"thực vật, cây (nhỏ)",sự mọc,"dáng đứng, thế đứng"
especially,is'peʃəli,"đặc biệt là, nhất là",,
specific,spi'sifik,"dứt khoát, rành mạch, rõ ràng",(thuộc) loài,"đặc trưng, riêng biệt"
perhaps,"pə'hæps, (Àthtục) præps","có lẽ, có thể",,
statement,'steitmənt,"sự bày tỏ, sự trình bày, sự phát biểu",lời tuyên bố; bản tuyên bố,
center,'sentə,"(từ Mỹ,nghĩa Mỹ) (như) centre",,
private,private,"riêng, tư, cá nhân","riêng, mật, kín","xa vắng, khuất nẻo, hẻo lánh (chỗ, nơi)"
space,'speis,"không gian, không trung, khoảng không","khoảng, chỗ",khoảng cách
quite,kwait,"hoàn toàn, hầu hết, đúng là",khá,"đúng, đồng ý, phải (trong câu đáp)"
gas,gæs,khí,"khí thắp, hơi đốt",khí tê (dùng khi chữa răng) ((cũng) laughing gas)
quality,'kwɔliti,"chất, phẩm chất","phẩm chất ưu tú, tính chất hảo hạng","đặc tính, nét đặc biệt; năng lực, tài năng"
probably,,hầu như chắc chắn,,
clear,kliə,"trong, trong trẻo, trong sạch","sáng sủa, dễ hiểu","thông trống, không có trở ngại (đường xá)"
sense,sens,giác quan,"tri giác, cảm giác",ý thức
further,'fə:ðə,"xa hơn nữa, bên kia","thêm nữa, hơn nữa",xa hơn nữa
road,roud,con đường,"(từ Mỹ,nghĩa Mỹ) đường sắt",đường phố
source,sɔ:s,"nguồn sông, nguồi suối","nguồn, nguồn gốc",nhàn cư vi bất tiện
range,reindʤ,"dãy, hàng","phạm vị, lĩnh vực; trình độ",loại
additional,ə'diʃənl,"thêm vào, phụ vào, tăng thêm",,
title,'taitl,tên (sách); nhan đề,tước; danh hiệu,"tư cách, danh nghĩa"
established,is'tæbliʃt,"đã thành lập, đã thiết lập",đã được đặt (vào một địa vị),đã xác minh (sự kiện...)
pressure,'preʃə,"sức ép, áp lực ((nghĩa đen) & (nghĩa bóng)), áp suất","sự đè nặng, sự ép buộc, sự thúc bách; cảnh quẩn bách","sự vội vã, sự cấp bách, sự gấp, sự khẩn cấp"
reported,ri'pɔ:tid,(ngôn ngữ học) gián tiếp,,
temperature,'tempritʃə,nhiệt độ,,
natural,'nætʃrəl,"(thuộc) tự nhiên, (thuộc) thiên nhiên","(thuộc) thiên tính; bẩm sinh, trời sinh","tự nhiên, đương nhiên, tất nhiên, dĩ nhiên"
performance,pə'fɔ:məns,sự làm; sự thực hiện; sự thi hành (lệnh...); sự cử hành (lễ...); sự hoàn thành (nhiệm vụ),"việc diễn, việc đóng (phim, kịch...); cuộc biểu diễn",kỳ công
issue,'isju:,sự phát ra; sự phát hành; sự đưa ra,số báo (in ra); số lượng cho ra (tem...),"vấn đề (đang tranh câi, đang kiện cáo...); vấn đề chín muồi (có thể quyết định)"
international,",intə'næʃənl",quốc tế,(thuộc) tổ chức quốc tế cộng sản,vận động viên trình độ quốc tế
century,'sentʃuri,"trăm năm, thế kỷ",trăm (cái gì đó...),"(từ Mỹ,nghĩa Mỹ),  (thông tục) trăm đô la"
situation,",sitju'eiʃn","vị trí, địa thế","tình thế, tình cảnh, hoàn cảnh, trạng thái","chỗ làm, việc làm"
director,di'rektə,"giám đốc, người điều khiển, người chỉ huy",(sử học) quan đốc chính (hồi cách mạng Pháp),(tôn giáo) cha đạo
unit,'ju:nit,"một, một cái",đơn vị,
included,in'klu:did,"bao gồm cả, kể cả",(thực vật học) không thò ra (nhị hoa),
condition,kən'diʃn,điều kiện,"(số nhiều) hoàn cảnh, tình cảnh, tình thế","địa vị, thân phận"
enough,i'nʌf,"đủ, đủ dùng","sự đủ dùng, số đủ dùng, lượng đủ dùng","chịu thua, xin hàng"
third,θə:d,thứ ba,một phần ba,người thứ ba; vật thứ ba; ngày mồng ba
attention,ə'tenʃn,sự chú ý,sự chăm sóc,"(số nhiều) sự ân cần, sự chu đáo với ai"
normal,'nɔ:məl,"thường, thông thường, bình thường",tiêu chuẩn; ((toán học)) chuẩn tác,(toán học) trực giao
chairman,'tʃeəmən,chủ tịch; người chủ toạ (buổi họp),người cho thuê ghế lăn; người đẩy ghế lăn,"(từ cổ,nghĩa cổ) người khiêng kiệu"
continued,,liên tục,,
lord,lɔ:d,"chủ đề, chúa tể, vua",vua (tư bản độc quyền nắm một ngành công nghiệp nào),"Chúa,  Thiên chúa"
felt,felt,"nỉ, phớt","(định ngữ) bằng nỉ, bằng dạ, bằng phớt",kết lại thành nỉ; kết lại với nhau
product,product,"sản vật, sản phẩm, vật phẩm",kết quả,(toán học) tích
staff,stɑ:f,"gậy, ba toong",gậy quyền (gậy biểu thị chức vị quyền lực),"cán, cột"
significant,sig'nifikənt,"đầy ý nghĩa, có tính chất gợi ý","quan trọng, trọng đại, đáng chú ý",
solution,sə'lu:ʃn,sự hoà tan,dung dịch,"giải pháp, cách giải quyết"
complete,kəm'pli:t,"đầy đủ, trọn vẹn, hoàn toàn","hoàn thành, xong","(từ cổ,nghĩa cổ) hoàn toàn, toàn diện (người)"
agency,'eidʤənsi,"tác dụng, lực","sự môi giới, sự trung gian","(thương nghiệp) đại lý, phân điểm, chi nhánh"
average,'ævəridʤ,"số trung bình, mức trung bình; sự ước lượng trung bình","loại trung bình, tiêu chuẩn bình thường",(thương nghiệp) sự chia số thiệt hại (về tàu bè hoặc hàng hoá chở trên tàu bè) do tai nạn (giữa chủ tàu và hãng bảo hiểm)
recent,'ri:snt,"gần đây, xảy ra gần đây, mới đây, mới xảy ra","mới, tân thời",
original,ə'ridʤənl,"(thuộc) gốc, (thuộc) nguồn gốc, (thuộc) căn nguyên, đầu tiên",(thuộc) nguyên bản chính,độc đáo
blood,blʌd,"máu, huyết",nhựa (cây); nước ngọt (hoa quả...),"sự tàn sát, sự chém giết, sự đổ máu"
final,'fainl,cuối cùng,"quyết định, dứt khoát, không thay đổi được nữa",(triết học); (ngôn ngữ học) (thuộc) mục đích
defendant,di'fendənt,"(pháp lý) người bị kiện, người bị cáo","(định ngữ) bị kiện, bị cáo",
response,ris'pɔns,sự trả lời,"sự đáp lại, sự hưởng ứng",sự phản ứng lại; vận động phản ứng lại (khi bị kích thích...)
produced,,dài quá đáng,,
taking,'teikiɳ,"sự cầm, sự lấy, sự chiếm lấy",(số nhiều) tiền thu,(y học) sự lấy (máu)
physical,'fizikəl,(thuộc) vật chất,(thuộc) khoa học tự nhiên; theo quy luật khoa học tự nhiên,(thuộc) vật lý; theo vật lý
direct,di'rekt,"gửi, viết để gửi cho (ai), viết cho (ai); nói với (ai), nói để nhắn (ai)",hướng nhắm (về phía...),"chỉ đường; hướng dẫn, chỉ đạo, chi phối"
finally,'fainəli,"cuối cùng, sau cùng",dứt khoát,
degree,di'gri:,"mức độ, trình độ","địa vị, cấp bậc (trong xã hội)",độ
military,'militəri,"(thuộc) quân đội, (thuộc) quân sự","(thường) the military quân đội, bộ đội",
consider,kən'sidə,"cân nhắc, xem xét, suy xét, suy nghĩ","để ý đến, quan tâm đến, lưu ý đến","xem như, coi như"
sent,send,"gửi, sai, phái, cho đi ((cũng) scend)","cho, ban cho, phù hộ cho, giáng (trời,  Thượng đế...)","bắn ra, làm bốc lên, làm nẩy ra, toả ra"
appear,ə'piə,"xuất hiện, hiện ra, ló ra",trình diện; ra mắt,được xuất bản (sách)
discussion,dis'kʌʃn,"sự thảo luận, sự bàn cãi, sự tranh luận; cuộc thảo luận, cuộc bàn cãi, cuộc tranh luận","sự ăn uống ngon lành thích thú (món ăn, rượu)",
instead,in'sted,"để thay vào, để thế cho; đáng lẽ là",,
east,i:st,"hướng đông, phương đông, phía đông",miền đông,gió đông
understand,",ʌndə'stænd","hiểu, nắm được ý, biết",hiểu ngầm (một từ không phát biểu trong câu),
appropriate,ə'proupriit,"(+ to,  for) thích hợp, thích đáng","chiếm hữu, chiếm đoạt (làm của riêng)",dành riêng (để dùng vào việc gì)
weight,'weit,"trọng lượng, sức nặng",cái chặn (giấy...),qu cân
basic,'beisik,"cơ bản, cơ sở",(hoá học) (thuộc) bazơ,
wanted,'wɔntid,"cần, được cần đến, được yêu cầu, được đòi hỏi","bị tìm bắt, bị truy nã",
direction,di'rekʃn,"sự điều khiển, sự chỉ huy, sự cai quản","((thường) số nhiều) lời chỉ bảo, lời hướng dẫn, chỉ thị, huấn thị","phương hướng, chiều, phía, ngả"
passed,,"hợp qui cách (thi cử, ứng tuyển)",,
indeed,in'di:d,"thực vậy, thực mà, quả thực, thực lại là","thực vậy ư, thế à, vậy à, thế",
base,beis,"cơ sở, nền, nền tảng, nền móng","đáy, chấn đế",căn cứ
simple,'simpl,"đơn, đơn giản","giản dị, mộc mạc, xuềnh xoàng, bình dị, hồn nhiên","dễ hiểu, dễ làm"
author,'ɔ:θə,tác giả,"người tạo ra, người gây ra",(tôn giáo) đảng sáng tạo (Chúa)
lost,lu:z,mất không còn nữa,"mất, mất hút, không thấy nữa; lạc, thất lạc","bỏ lỡ, bỏ uổng, bỏ qua"
wide,waid,"rộng, rộng lớn","mở rộng, mở to","(nghĩa bóng) rộng, uyên bác (học vấn)"
applied,ə'plaid,ứng dụng,,
importance,im'pɔ:təns,"sự quan trọng, tầm quan trọng","quyền thế, thế lực",
text,tekst,"nguyên văn, nguyên bản","bản văn, bài đọc, bài khoá","đề, đề mục, chủ đề"
medical,'medikəl,"y, y học",(thuộc) khoa nội,(thông tục) học sinh trường y
credit,'kredit,"sự tin, lòng tin","danh tiếng; danh vọng, uy tín",nguồn vẻ vang; sự vẻ vang
notice,'noutis,"thông tri, yết thị, thông cáo",lời báo trước; sự báo trước; thời hạn,"đoạn ngắn, bài ngắn (trên báo; để thông báo, để bình phẩm một cuốn sách, một vở kịch)"
modern,'mɔdən,hiện đại,cận đại,"người cận đại, người hiện đại"
exchange,iks'tʃeindʤ,"sự đổi, sự đổi chác, sự trao đổi; vật trao đổi",sự đổi tiền; nghề đổi tiền; sự hối đoái; cơ quan hối đoái,sự thanh toán nợ bằng hối phiếu
proper,proper,"đúng, thích đáng, thích hợp","đúng, đúng đắn, chính xác","((thường) đặt sau danh từ) thật sự, đích thực, đích thị, đích thân, bản thân"
clearly,'kliəli,"rõ ràng, sáng sủa, sáng tỏ","cố nhiên, hẳn đi rồi (trong câu trả lời)",
likely,'laikli,"chắc đúng, có lẽ đúng, có lẽ thật",có thể,"thích hợp, đúng với"
simply,'simpli,chỉ là; thường là,đơn giản,mộc mạc; hồn nhiên
actually,'æktjuəli,"thực sự, quả thật, đúng, quả là","hiện tại, hiện thời, hiện nay",ngay cả đến và hơn thế
seem,si:m,"có vẻ như, dường như, coi bộ",vì một lý do nào đó (nên) không...,được ai cho là giải pháp tốt nhất
influence,'influəns,"ảnh hưởng, tác dụng","uy thế, thế lực",người có ảnh hưởng; điều có ảnh hưởng; điều có tác dụng
nearly,'niəli,"gần, sắp, suýt","mặt thiết, sát",
heat,hi:t,"hơi nóng, sức nóng; sự nóng",(vật lý) nhiệt,"sự nóng bức, sự nóng nực"
continue,kən'tinju:,"tiếp tục, làm tiếp","giữ, duy trì","vẫn cứ, tiếp diễn"
earth,ə:θ,"đất, đất liền, mặt đất (đối lại với trời); quả đất",(hoá học) đất,"hang (cáo, chồn...)"
call,kɔ:l,"tiếng kêu, tiếng la, tiếng gọi",tiếng chim kêu; tiếng bắt chước tiếng chim,"kèn lệnh, trống lệnh, còi hiệu"
voice,vɔis,"tiếng, tiếng nói, giọng nói ((nghĩa đen) & (nghĩa bóng))","ý kiến; lời, lời nói; sự bày tỏ, sự phát biểu",(ngôn ngữ học) âm kêu
opportunity,",ɔpə'tju:niti","cơ hội, thời cơ","(từ hiếm,nghĩa hiếm) tính chất đúng lúc",
apply,ə'plai,"gắn vào, áp vào, ghép vào, đính vào, đắp vào, tra vào","dùng ứng dụng, dùng áp dụng","chăm chú, chuyên tâm"
amendment,ə'mendmənt,sự cải tà quy chánh,sự sửa đổi cho tốt hơn; sự cải thiện; sự bồi bổ cho tốt hơn,"sự sửa đổi, sự bổ sung (chỗ thiếu sót, sai lầm...)"
behavior,,"(Tech) cách xử lý, chế độ; hành vi, trạng thái",,
contact,kɔntækt,"sự chạm, sự tiếp xúc",(toán học) tiếp điểm,"(điện học) sự cho tiếp xúc; chỗ tiếp xúc (hai dòng điện); cái ngắt điện, cái công tắc ((cũng) contact piece)"
lot,lɔt,"thăm, việc rút thăm; sự chọn bằng cách rút thăm",phần do rút thăm định; phần tham gia,"số, phận, số phận, số mệnh"
nation,'neiʃn,dân tộc,"nước, quốc gia",
police,pə'li:s,"cảnh sát, công an (lực lượng, tổ chức...)","(dùng như số nhiều) những người cảnh sát, những người công an",khống chế (kiểm soát) (một vùng...) bằng lực lượng cảnh sát (công an)
hold,hould,khoang (của tàu thuỷ),"sự cầm, sự nắm giữ, sự nắm chặt","(nghĩa bóng) sự nắm được, sự hiểu thấu"
needs,'ni:dz,(tục ngữ) túng phải tính,,
