then,ðen,"lúc đó, hồi ấy, khi ấy","rồi, rồi thì, sau đó","vậy thì, như thế thì, trong trường hợp ấy"
now,nau,"bây giờ, lúc này, giờ đây, hiện nay, ngày nay","ngay bây giờ, ngay tức khắc, lập tức","lúc ấy, lúc đó, lúc bấy giờ (trong lúc kể chuyện)"
first,fə:st,thứ nhất,đầu tiên; quan trọng nhất; cơ bản,trực tiếp
many,'meni,"nhiều, lắm","hơn một, nhiều",trong một thời gian dài
same,seim,"đều đều, đơn điệu","((thường) + the) giống nhau, như nhau, không thay đổi, cùng một, cũng như vậy, cũng như thế","(từ hiếm,nghĩa hiếm) lại người ấy, cũng vẫn người ấy"
must,mʌst - məst,məst/,"phải, cần phải, nên","chắc hẳn là, thế mà... cứ"
very,'veri,"thực, thực sự","chính, ngay",chỉ
people,'pi:pl,dân tộc,"(dùng như số nhiều) nhân dân, dân chúng, quần chúng",(dùng như số nhiều) người
year,jə:,năm,(số nhiều) tuổi,cái đó làm cho tôi chán lắm; cái đó làm phiền tôi
being,'bi:iɳ,sinh vật; con người,sự tồn tại; sự sống,bản chất; thể chất (con người)
well,wel,"(+ up,  out,  forth) phun ra, vọt ra, tuôn ra (nước, nước mắt, máu)","tốt, giỏi, hay","phong lưu, sung túc"
number,'nʌmbə,số,"đám, bọn, nhóm, toán",sự đếm số lượng
case,keis,"trường hợp, cảnh ngộ, hoàn cảnh, tình thế","(y học) trường hợp, ca","vụ; việc kiện, việc thưa kiện, kiện, việc tố tụng"
make,meik,"hình dáng, cấu tạo (của một vật); kiểu (quần áo); tầm vóc, dáng, tư thế (người)",sự chế nhạo,"(điện học) công tắc, cái ngắt điện"
way,wei,"đường, đường đi, lối đi","đoạn đường, quãng đường, khoảng cách","phía, phương, hướng, chiều"
section,'sekʃn,sự cắt; chỗ cắt,"phần cắt ra, đoạn cắt ra",khu vực
life,laif,sự sống,"đời sống, sinh mệnh, tính mệnh","đời, người đời"
just,dʤʌst,công bằng,"xứng đáng, đích đáng, thích đáng","chính đáng, chính nghĩa, hợp lẽ phải"
order,'ɔ:də,"thứ, bậc, ngôi, hàng, cấp, loại, giai cấp",(toán học) bậc,thứ tự
man,mæn,"người, con người","đàn ông, nam nhi",chồng
good,gud,"tốt, hay, tuyệt","tử tế, rộng lượng, thương người; có đức hạnh, ngoan",tươi (cá)
does,,"làm, thực hiện",,
world,wə:ld,"thế giới, hoàn cầu, địa cầu","vũ trụ, vạn vật","thế gian, trần tục, cõi trần gian, thế giới"
information,",infə'meinʃn",sự cung cấp tin tức; sự thông tin,"tin tức, tài liệu; kiến thức",(pháp lý) điều buộc tội
here,hiə,"đây, ở đây, ở chỗ này",đây cái anh đang cần đây; đây đúng là điều anh muốn biết đây,xin chúc sức khoẻ anh (thường nói khi chúc rượu)
own,oun,"của chính mình, của riêng mình",độc lập cho bản thân mình; tự mình chịu trách nhiệm; với phương tiện của bản thân mình,(xem) man
high,hai,cao,"cao giá, đắt","lớn, trọng; tối cao, cao cấp; thượng, trên"
know,nou,biết; hiểu biết,"biết, nhận biết; phân biệt được","biết, quen biết"
take,teik,"sự cầm, sự nắm, sự lấy","chầu, mẻ (số lượng săn được, câu được, bắt được)","tiền thu (trong buổi hoà nhạc, diễn kịch)"
different,'difrənt,"khác, khác biệt, khác nhau","tạp, nhiều",
great,greit,"lớn, to lớn, vĩ đại","hết sức, rất","cao quý, ca cả, cao thượng"
large,lɑ:dʤ,"rộng, lớn, to",rộng rãi,"(từ cổ,nghĩa cổ) rộng lượng, hào phóng"
business,'biznis,"việc buôn bán, việc kinh doanh, việc thương mại","công tác, nghề nghiệp; công việc, nhiệm vụ việc phải làm",quyền
men,mæn,"người, con người","đàn ông, nam nhi",chồng
get,get,"được, có được, kiếm được, lấy được","nhận được, xin được, hỏi được","tìm ra, tính ra"
place,pleis,"nơi, chỗ, địa điểm, địa phương (thành phố, tỉnh, làng...)","nhà, nơi ở, nơi (dùng vào mục đích gì)","chỗ, vị trí, địa vị; chỗ ngồi, chỗ đứng; chỗ thích đáng; chỗ thích hợp"
group,gru:p,nhóm,"(hoá học) nhóm, gốc",hợp thành nhóm; tập hợp lại
too,tu:,quá,(thông tục) rất,cũng
children,tʃaild,"đứa bé, đứa trẻ",đứa con,"(nghĩa bóng) kết quả, hậu quả, sản phẩm"
point,pɔint,"mũi nhọn (giùi...) mũi kim, đầu ngòi bút; nhánh gạc (hươu nai); cánh (sao)","dụng cụ có mũi nhọn, kim khắc, kim trổ","(địa lý,địa chất) mũi đất"
important,im'pɔ:tənt,"quan trọng, trọng đại, trọng yếu, hệ trọng","có quyền thế, có thế lực",(như) self-importance
think,θiɳk,"nghĩ, suy nghĩ, ngẫm nghĩ","nghĩ, tưởng, tưởng tượng, nghĩ được, nghĩ là, cho là, coi như","nghĩ ra, thấy, hiểu"
the,"ði:, ði, ðə","cái, con, người...","ấy, này (người, cái, con...)","duy nhất (người, vật...)"
come,kʌm,"đến, tới, đi đến, đi tới, đi lại","sắp đến, sắp tới","xảy ra, xảy đến"
back,bæk,"lưng (người, vật)","ván lưng, ván ngựa (ghế)",đằng sau
period,'piəriəd,"kỷ, kỳ, thời kỳ, giai đoạn, thời gian","thời đại, thời nay",tiết (học)
program,program,"chương trình (công tác, biểu diễn văn nghệ...)","cương lĩnh (của tổ chức, đảng phái)","đặt chương trình, lập chương trình"
office,'ɔfis,sự giúp đỡ,nhiệm vụ,chức vụ
second,'sekənd,"thứ hai, thứ nhì","phụ, thứ yếu; bổ sung",không thua kém ai
say,sei,"(từ hiếm,nghĩa hiếm) vải chéo","lời nói, tiếng nói; dịp nói; quyền ăn nói (quyền tham gia quyết định về một vấn đề)",tuyên bố; hứa hẹn; tiên đoán
end,end,giới hạn,"đầu, đầu mút (dây...); đuôi; đáy (thùng...) đoạn cuối","mẩu thừa, mẩu còn lại"
health,'hi:liɳ,sức khoẻ,sự lành mạnh,thể chất
war,wɔ:,chiến tranh,đấu tranh,(định ngữ) chiến tranh
long,lɔɳ,"dài (không gian, thời gian); xa, lâu",kéo dài,"cao; nhiều, đáng kể"
much,mʌtʃ,"nhiều, lắm",không địch nổi (người nào về sức mạnh),"nhiều, lắm"
never,'nevə,"không bao giờ, không khi nào","không, đừng",(xem) better
board,bɔ:d,tấm ván,bảng,"giấy bồi, bìa cứng"
form,fɔ:m,"hình, hình thể, hình dạng, hình dáng","(triết học) hình thức, hình thái","hình thức (bài văn...), dạng"
little,'litl,"nhỏ bé, be bỏng","ngắn, ngắn ngủi",ít ỏi
again,ə'gen,"lại, lần nữa, nữa",trở lại,"đáp lại, dội lại"
action,'ækʃn,"hành động, hành vi; hoạt động; công việc, việc làm","tác động, tác dụng, ảnh hưởng","sự chiến đấu, trận đánh"
example,ig'zɑ:mpl,"thí dụ, ví dụ","mẫu, gương mẫu, gương",cái để làm gương
there,ðeə,"ở đó, tại đó, chỗ đó, chỗ ấy, đấy","((thường) + to be) (dùng để nhấn mạnh, không dịch)","đó, đấy"
home,houm,"nhà, chỗ ở","nhà, gia đình, tổ ấm","quê hương, tổ quốc, nơi chôn nhau cắt rún, nước nhà"
give,giv,"cho, biếu, tặng, ban","cho, sinh ra, đem lại","nêu cho; đưa cho, trao cho, đem cho, chuyển cho"
course,kɔ:s,"tiến trình, dòng; quá trình diễn biến","sân chạy đua, vòng chạy đua; trường đua ngựa ((cũng) race course)","hướng, chiều hướng; đường đi"
line,lain,"dây, dây thép","vạch đường, đường kẻ","đường, tuyến"
women,'wumən,"đàn bà, phụ nữ","giới đàn bà, nữ giới",kẻ nhu nhược (như đàn bà)
social,'souʃəl,"có tính chất xã hội, có tính chất thành viên của một tập thể, sống thành xã hội",thuộc quan hệ giữa người và người; thuộc xã hội,"của các đồng minh, với các đồng minh"
question,'kwestʃn,câu hỏi,"vấn đề; điều bàn đến, điều nói đến","xin đi vào đề! (trong hội nghị, nhắc người phát biểu nói lan man ngoài đề); có vấn đề đấy! (tỏ ý nghi ngờ sự việc do ai đang nói)"
person,'pə:sn,"con người, người","(nghĩa xấu) gã, anh chàng, thằng cha, mụ, ả...",bản thân
often,'ɔ:fn,"thường, hay, luôn, năng",,
hand,hænd,"tay, bàn tay (người); bàn chân trước (loài vật bốn chân)",quyền hành; sự có sãn (trong tay); sự nắm giữ (trong tay); sự kiểm soát,"sự tham gia, sự nhúng tay vào; phần tham gia"
history,'histəri,"sử, sử học, lịch sử","lịch sử (một vật, một người)",kịch lịch sử
find,faind,"sự tìm thấy (chồn, cáo, mỏ, vàng...)",vật tìm thấy,"thấy, tìm thấy, tìm ra, bắt được"
came,keim,khung chì (để) lắp kinh (cửa),,
set,set,bộ,(toán học) tập hợp,"(thể dục,thể thao) ván, xéc (quần vợt...)"
always,'ɔ:lwəz,"luôn luôn, lúc nào cũng, bao giờ cũng, mãi mãi, hoài","đôi khi, đôi lúc, thỉnh thoảng",
field,fi:ld,"đồng ruộng, cánh đồng","mỏ, khu khai thác",bâi chiến trường; nơi hành quân; trận đánh
side,said,"mặt, bên","(toán học) bề, cạnh",triền núi; bìa rừng
full,ful,"đầy, đầy đủ, nhiều, tràn trề, tràn ngập, chan chứa","chật, đông, chật ních, hết chỗ ngồi (rạp hát, xe buýt...)","no, no nê"
type,taip,kiểu mẫu,kiểu,chữ in
put,put,"để, đặt, bỏ, đút, cho vào (ở đâu, vào cái gì...)","để, đặt vào, sắp đặt, sắp xếp (trong một tình trạng nào); làm cho, bắt phải","đưa, đưa ra, đem ra"
head,hed,"cái đầu (người, thú vật)","người, đầu người; (số nhiều không đổi) con (vật nuôi), đầu (vật nuôi)","đầu óc, trí nhớ; năng khiếu, tài năng"
problem,problem,vấn đề,bài toán; điều khó hiểu,thế cờ (bày sẵn đề phá)
body,'bɔdi,"thân thể, thể xác","xác chết, thi thể","thân (máy, xe, tàu, cây...)"
special,'speʃəl,"đặc biệt, riêng biệt",cảnh sát đặc biệt,chuyến xe lửa đặc biệt
become,bi'kʌm,"trở nên, trở thành","vừa, hợp, thích hợp, xứng",xảy đến
let,let,"(từ cổ,nghĩa cổ) sự ngăn cản, sự cản trở","(từ cổ,nghĩa cổ) ngăn cản, cản trở","để cho, cho phép"
due,dju:,quyền được hưởng; cái được hưởng,"món nợ (cho ai vay; vay của ai), tiền nợ; cái phải trả",(số nhiều) thuế
matter,'mætə,"chất, vật chất","đề, chủ đề, nội dung","vật, vật phẩm"
american,ə'merikən,(thuộc) Châu Mỹ; (thuộc) nước Mỹ,người Châu Mỹ; người Mỹ,
want,wɔnt,"sự thiếu, sự không có, sự khuyết","sự cần, sự cần thiết","((thường) số nhiều) nhu cầu, những cái cần thiết"
one,wʌn,một,như thế không thay đổi,(xem) all
age,eidʤ,tuổi,"tuổi già, tuổi tác","thời đại, thời kỳ"
something,'sʌmθiɳ,"một điều gì đó, một việc gì đó; cái gì đó","điều này, việc này","cái đúng, cái có lý"
later,,chậm hơn,,
once,wʌns,một lần,một khi,"trước kia, xưa kia"
best,best,"tốt nhất, hay nhất, đẹp nhất, giỏi nhất",đại bộ phận,"đi thật nhanh, đi ba chân bốn cẳng"
away,ə'wei,"xa, xa cách, rời xa, xa ra, đi (xa)","biến đi, mất đi, hết đi",không ngừng liên tục
party,'pɑ:ti,đảng,đảng Cộng sản,sự đứng về phe (trong vấn đề chính trị); sự trung thành với phe đảng
free,fri:,tự do,"không mất tiền, không phải trả tiền; được miễn","(+ from) không bị, khỏi phải, thoát được"
change,tʃeindʤ,"sự đổi, sự thay đổi, sự biến đổi",trăng non,bộ quần áo sạch (để dự phòng) ((cũng) a change of clothes)
seen,si:,"thấy, trông thấy, nhìn thấy; xem, quan sát, xem xét","xem, đọc (trang báo chí)","hiểu rõ, nhận ra"
paper,'peipə,giấy,"(số nhiều) giấy tờ, giấy má (giấy chứng minh, hồ sơ...)",báo
class,klɑ:s,giai cấp,"hạng, loại",(sinh vật học) lớp
child,tʃaild,"đứa bé, đứa trẻ",đứa con,"(nghĩa bóng) kết quả, hậu quả, sản phẩm"
yet,jet,"còn, hãy còn, còn nữa","bây giờ, lúc này","tuy thế, tuy vậy, nhưng mà, mà, song"
together,tə'geðə,"cùng, cùng với, cùng nhau","cùng một lúc, đồng thời","liền, liên tục"
almost,'ɔ:lmoust,"hầu (như), gần (như), suýt nữa, tí nữa",,
price,prais,giá ((nghĩa đen) & (nghĩa bóng)),giá đánh cuộc,"(từ cổ,nghĩa cổ) giá trị, sự quý giá"
room,rum,"buồng, phòng",cả phòng (những người ngồi trong phòng),(số nhiều) căn nhà ở (có nhiều phòng)
already,ɔ:l'redi,"đã, rồi; đã... rồi",,
date,deit,quả chà là,(thực vật học) cây chà là,"ngày tháng; niên hiệu, niên kỷ"
bank,bæɳk,"đê, gờ, ụ (đất, đá)","bờ (sông, hồ, kênh, lạch, ruộng...)",đống
result,ri'zʌlt,kết quả,(toán học) đáp số,"do bởi, do mà ra"
nothing,'nʌθiɳ,"sự không có, sự không tồn tại; cái không có","người vô dụng, người bất tài, người tầm thường; chuyện lặt vặt, chuyện tầm thường; vật rất tồi, vật tầm thường",con số không
plan,plæn,"sơ đồ, đồ án (nhà...)","bản đồ thành phố, bản đồ",mặt phẳng (luật xa gần)
street,stri:t,"phố, đường phố",hàng phố (tất cả những người ở cùng một phố),"(từ cổ,nghĩa cổ) đường cái"
young,jʌɳ,"trẻ, trẻ tuổi, thiếu niên, thanh niên",non,"(nghĩa bóng) non trẻ, trẻ tuổi"
college,'kɔlidʤ,"trường đại học, trường cao đẳng",ban; học viện,trường đại học nội trú
non,,(tiền tố) không,,
true,tru:,"thật, thực, đúng, xác thực",chân chính,"thành khẩn, chân thành"
care,keə,"sự chăn sóc, sự chăm nom, sự giữ gìn, sự bảo dưỡng","sự chăm chú, sự chú ý; sự cẩn thận, sự thận trọng","sự lo âu, sự lo lắng"
short,ʃɔ:t,"ngắn, cụt","lùn, thấp (người)","thiển cận, chỉ thấy việc trước mắt"
building,'bildiɳ,kiến trúc; sự xây dựng,"công trình kiến trúc, công trình xây dựng","toà nhà,  binđinh"
test,test,"(động vật học) vỏ (tôm, cua); mai (rùa)",sự thử thách,"sự thử, sự làm thử"
river,'rivə,dòng sông,"dòng chảy tràn ngập, dòng chảy lai láng",(nghĩa bóng) (the river) ranh giới giữa sự sống với sự chết
reason,'ri:zn,"lý do, lẽ","lý trí, lý tính","lẽ phải, lý, sự vừa phải"
church,tʃə:tʃ,nhà thờ,buổi lễ (ở nhà thờ),Church giáo hội; giáo phái
science,'saiəns,khoa học,khoa học tự nhiên,ngành khoa học
light,lait,"ánh sáng, ánh sáng mặt trời, ánh sáng ban ngày","nguồn ánh sáng, đèn đuốc","lửa, tia lửa; diêm, đóm"
real,,(Econ) Các giá thực tế/ tương đối.,,
language,'læɳgwidʤ,"tiếng, ngôn ngữ",lời nói,"cách diễn đạt, cách ăn nói"
show,ʃou,sự bày tỏ,sự trưng bày; cuộc triển lãm,"sự phô trương, sự khoe khoang"
foreign,'fɔrin,"(thuộc) nước ngoài, từ nước ngoài, ở nước ngoài","xa lạ; ngoài, không thuộc về","(y học) ngoài, lạ"
father,'fɑ:ðə,"cha, bố","(nghĩa bóng) người cha, người đẻ ra, người sản sinh ra","tổ tiên, ông tổ"
told,tel,"nói, nói với, nói lên, nói ra","nói cho biết, bảo","chỉ cho, cho biết"
kind,kaind,loài giống,"loại, hạng, thứ","cái cùng loại, cái đúng như vậy"
usually,'ju: u li,"thường thường, thường lệ",,
design,di'zain,"đề cương, bản phác thảo, phác hoạ, đồ án","ý muốn, ý định, dự định, dự kiến, mục đích; ý đồ, mưu đồ",kế hoạch
greater,,"lớn hơn, có ý nghĩa hơn",,
read,ri:d,đọc,"học, nghiên cứu",xem đoán
white,wait,"trắng, bạch, bạc","tái mét, xanh nhợt, trắng bệch","trong, không màu sắc (nước, không khí...)"
size,saiz,"kích thước, độ lớn","cỡ, khổ, số",dụng cụ (để) đo ngọc
art,ɑ:t,"tài khéo léo, kỹ xảo",nghệ thuật; mỹ thuật,mỹ nghệ; nghề đòi hỏi sự khéo léo
became,bi'kʌm,"trở nên, trở thành","vừa, hợp, thích hợp, xứng",xảy đến
practice,'præktis,"thực hành, thực tiễn","thói quen, lệ thường","sự rèn luyện, sự luyện tập"
about,ə'baut,"xung quanh, quanh quẩn, đây đó, rải rác",đằng sau,"khoảng chừng, gần"
better,'betə,cấp so sánh của good,"hơn, tốt hơn, khá hơn, hay hơn, đẹp hơn","khoẻ hơn, dễ chịu hơn, đã đỡ (người ốm...)"
word,wə:d,từ,"lời nói, lời","lời báo tin, tin tức, lời nhắn"
brought,briɳ,"cầm lại, đem lại, mang lại, xách lại, đưa lại",đưa ra,"làm cho, gây cho"
mind,maind,"tâm, tâm trí, tinh thần","trí, trí tuệ, trí óc","ký ức, trí nhớ"
thing,θiɳ,"cái, đồ, vật, thứ, thức, điều, sự, việc, món","đồ dùng, dụng cụ","đồ đạc, quần áo..."
review,ri'vju:,"(pháp lý) sự xem lại, sự xét lại (một bản án)","(quân sự) cuộc duyệt binh, cuộc thao diễn","sự xem xét lại, sự duyệt binh lại; sự hồi tưởng (những việc đã qua)"
mother,'mʌðə,"mẹ, mẹ đẻ","nguồn gốc, nguyên nhân; mẹ ((nghĩa bóng))",(tôn giáo) mẹ
open,'oupən,"mở, ngỏ","mở rộng, không hạn chế; không cấm","trần, không có mui che; không gói, không bọc"
believe,bi'li:v,"tin, tin tưởng","cho rằng, nghĩ rằng","làm ra vẻ, giả vờ"
look,luk,"cái nhìn, cái ngó, cái dòm","vẻ, vẻ mặt, nét mặt, vẻ ngoài",không nên trông mặt mà bắt hình dong
activity,æk'tiviti,"sự tích cực, sự hoạt động, sự nhanh nhẹn, sự linh lợi",(số nhiều) hoạt động,phạm vi hoạt động
rule,ru:l,"phép tắc, quy tắc, nguyên tắc; quy luật; điều lệ, luật lệ","thói quen, lệ thường",quyền lực
keep,ki:p,"giữ, giữ lại","giữ, tuân theo, y theo, thi hành, đúng","giữ, canh phòng, bảo vệ; phù hộ"
page,peidʤ,trang (sách...); (nghĩa bóng) trang sử,đánh số trang,tiểu đồng
face,feis,mặt,vẻ mặt,"thể diện, sĩ diện"
help,help,"sự giúp đỡ, sự cứu giúp, sự giúp ích","phương cứu chữa, lối thoát","phần đưa mời (đồ ăn, đồ uống)"
ground,graund,"mặt đất, đất","bâi đất, khu đất; ruộng đất (của ai)",(số nhiều) đất đai vườn tược
congress,'kɔɳgres,"sự nhóm hợp, sự hội họp","đại hội, hội nghị","(Congress) quốc hội (gồm thượng nghị viện và hạ nghị viện) (Mỹ,  Phi-líp-pin,  Châu mỹ la-tinh trừ Cu-ba)"
really,'riəli,"thực, thật, thực ra",,
king,kiɳ,"vua, quốc vương",trợ cấp của nhà vua cho các bà mẹ đẻ sinh ba,lá cờ của nhà vua
role,roul,"vai, vai trò",,
schools,,(Anh) dành cho nhà trường,,
article,'ɑ:tikl,bài báo,"điều khoản, mục","đồ, thức, vật phẩm; hàng"
tell,tel,"nói, nói với, nói lên, nói ra","nói cho biết, bảo","chỉ cho, cho biết"
woman,'wumən,"đàn bà, phụ nữ","giới đàn bà, nữ giới",kẻ nhu nhược (như đàn bà)
personal,'pə:snl,"cá nhân, tư, riêng","nói đến cá nhân, ám chỉ cá nhân, chỉ trích cá nhân",nhân cách hoá
meeting,'mi:tiɳ,"(chính trị) cuộc mít tinh, cuộc biểu tình","cuộc gặp gỡ, cuộc hội họp, hội nghị",
gave,giv,"cho, biếu, tặng, ban","cho, sinh ra, đem lại","nêu cho; đưa cho, trao cho, đem cho, chuyển cho"
library,'laibrəri,"thư viện, phòng đọc sách",tủ sách,"loại sách (có liên quan về nội dung, đóng bìa giống nhau)"
began,bi'gin,"bắt đầu, mở đầu, khởi đầu",bắt đầu nói,bắt đầu từ
letter,'letə,"chữ cái, chữ","thư, thư tín","nghĩa chật hẹp, nghĩa mặt chữ"
heart,hɑ:t,(giải phẫu) tim,lồng ngực,"trái tim, lòng, tấm lòng, tâm can, tâm hồn"
subject,'sʌbdʤikt,chủ đề; vấn đề,"dân, thần dân",(ngôn ngữ học) chủ ngữ
code,koud,"bộ luật, luật","điều lệ, luật lệ, quy tắc; đạo lý (của một xã hội, của một giai cấp)","mã, mật mã"
knew,nou,biết; hiểu biết,"biết, nhận biết; phân biệt được","biết, quen biết"
strong,strɔɳ,"bền, vững, chắc chắn, kiên cố","khoẻ, tráng kiện",mạnh; tốt
fire,'faie,"lửa, ánh lửa","sự cháy, hoả hoạn, sự cháy nhà",ánh sáng
today,,"hôm nay, ngày này, ngày hôm nay","ngày nay, thời kỳ hiện nay, thời đại này",vào ngày này
black,blæk,đen,mặc quần áo đen,da đen
soon,su:n,"chẳng bao lâu nữa, chẳng mấy chốc, một ngày gần đây; ngay",as soon as; so soon as ngay khi,thà
town,taun,"thành phố, thị xã","dân thành phố, bà con hàng phố","phố (nơi có phố xá đông đúc của thành phố, trái với ngoại ô)"
note,nout,"lời ghi, lời ghi chép","lời ghi chú, lời chú giải","sự lưu ý, sự chú ý"
anything,'eniθiɳ,"vật gì, việc gì (trong câu phủ định và câu hỏi)","bất cứ việc gì, bất cứ vật gì (trong câu khẳng định)","(thông tục) hết sức, vô cùng, cực kỳ"
difficult,'difikəlt,"khó, khó khăn, gay go","khó tính, khó làm vừa lòng (người)",
technology,tek'nɔlədʤi,kỹ thuật; kỹ thuật học,công nghệ học,thuật ngữ chuyên môn (nói chung)
job,dʤɔb,"việc, việc làm, công việc; việc làm thuê, việc làm khoán",(thông tục) công ăn việc làm,việc làm ăn gian lận để kiếm chác
idea,ai'diə,"quan niệm, tư tưởng, ý tưởng, ý nghĩ, ý kiến","ý niệm, khái niệm, sự hiểu biết qua","sự hình dung, sự tưởng tượng; điều tưởng tượng"
feel,fi:l,sự sờ mó,xúc giác,cảm giác (khi sờ mó)
doing,'du:iɳ,sự làm (việc gì...),"((thường) số nhiều) việc làm, hành động, hành vi","(số nhiều) biến cố; đình đám, tiệc tùng, hội hè"
pay,pei,"trả (tiền lương...); nộp, thanh toán","(nghĩa bóng) trả công, thưởng, đền đáp lại",dành cho; đến (thăm...); ngỏ (lời khen...)
love,lʌv,"lòng yêu, tình thương","tình yêu, mối tình, ái tình","người yêu, người tình"
week,wi:k,"tuần lễ, tuần",những ngày làm việc trong tuần,"by tuần, bốn mưi chín ngày"
list,list,trạng thái nghiêng; mặt nghiêng,mép vải; dải,mép vải nhét khe cửa
self,self,"đồng màu, cùng màu",một màu (hoa),cùng loại
turned,,được tiện,mài gọt láng bóng,(a man turned fifty) một người quá năm mươi
half,hɑ:f,"(một) nửa, phân chia đôi","nửa giờ, ba mươi phút",phần thưởng một nửa (không hoàn toàn là một nửa)
story,'stɔ:ri,"chuyện, câu chuyện",truyện,"cốt truyện, tình tiết (một truyện, một vở kịch...)"
meet,mi:t,"cuộc gặp gỡ (của những người đi săn ở một nơi đã hẹn trước, của những nhà thể thao để thi đấu)","gặp, gặp gỡ",đi đón
moment,'moumənt,"chốc, lúc, lát","tầm quan trọng, tính trọng yếu","(kỹ thuật),  (vật lý) Mômen"
difference,'difrəns,"sự khác nhau, tình trạng khác nhau; tính khác nhau; sự chênh lệch","sự bất đồng; mối bất hoà, mối phân tranh; sự cãi nhau",sự chênh lệch về giá cả (hối phiếu... trong những thời gian khác nhau)
sea,si:,biển,sóng biển,biển (khoảng rộng như biển); nhiều (về số lượng)
down,daun,xuống,"xuống, bỏ xuống, lặn xuống, ngã xuống, nằm xuống; ở dưới","xuống cho đến, cho đến tận, xuôi theo"
character,'kæriktə,"tính nết, tính cách; cá tính","đặc tính, đặc điểm; nét đặc sắc","chí khí, nghị lực"
wife,waif,vợ,"(từ cổ,nghĩa cổ) người đàn bà; bà già",
officer,'ɔfisə,sĩ quan,"nhân viên chính quyền, nhân viên, viên chức",cảnh sát
sure,ʃuə,"chắc, chắc chắn","chắc chắn, có thể tin cậy được; cẩn thận","thật, xác thật"
heard,hiə,nghe,"nghe theo, chấp nhận, đồng ý","(+ of,  about,  from) nghe nói, nghe tin, được tin, biết tin; nhận được (thư...)"
hospital,'hɔspitl,"bệnh viện, nhà thương","tổ chức từ thiện, tổ chức cứu tế (chỉ dùng với danh từ riêng)",trường Crai-xơ Hốt-xpi-tơn (tên một trường ở Luân-ddôn)
box,bɔks,"hộp, thùng, tráp, bao",chỗ ngồi (của người đánh xe ngựa),lô (rạp hát); phòng nhỏ (khách sạn); ô (chuồng ngựa)
mean,mi:n,"khoảng giữa, trung độ, trung gian, trung dung",(toán học) giá trị trung bình; số trung bình,"(số nhiều) ((thường) dùng như số ít) phương tiện, kế, biện pháp, cách"
door,dɔ:,"cửa, cửa ra vào (nhà, xe ô tô...)","cửa ngõ, con đường","cách vài nhà, cách vài buồng"
